rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00184489,-0.505624,-0.00548207,0.00799117,0.00722216,0.00289957,0.00303856,0.000391646
2,1,0.000658387,-0.540852,-0.000936846,-0.0172737,0.0143533,0.000308173,-0.00192545,-0.00199389
3,1,0.0034708,-0.616895,-0.00408796,-0.00695057,-0.00276731,-0.000549594,0.0019615,-0.00199434
4,1,-0.00134652,-0.587336,-0.00315203,0.0199445,0.00896632,0.000534396,-0.0106473,-0.000853678
5,1,0.00232716,-0.612172,-0.00342178,0.0110497,-0.00471549,-0.000760733,0.00137351,-0.00029833
6,1,-0.00426874,-0.542024,-0.0068343,-0.00177138,0.0179378,3.69808e-05,-0.00270817,-0.00354026
7,1,-0.00548772,-0.58276,-0.00715642,-0.0123257,0.00369569,-0.000335527,0.00118608,-0.00690174
8,1,-0.00209118,-0.557271,-0.00103355,0.00131644,0.0207595,-0.00177681,-0.0092776,-0.00425218
9,1,-0.00499814,-0.519988,-0.00395431,-0.00124534,0.0128943,-0.000958884,0.00260423,-0.00265837
10,1,-0.00192348,-0.556515,0.00338508,0.0168691,-0.00605363,0.000781195,9.19669e-05,-0.00300055
1,2,0.00205778,-0.282558,-0.00561391,-0.0104112,0.00805446,0.00149227,-0.00102844,0.00435768
2,2,-0.00025828,-0.36591,-0.00759502,-0.00210041,-0.0107797,0.00244344,0.00584105,0.00286781
3,2,-0.00133324,-0.309793,-0.0031319,-0.0072791,0.011348,-0.00123366,-0.00328925,0.00349614
4,2,0.00408817,-0.220491,0.000304446,-0.0190765,-0.00195532,-0.00264615,0.00439602,-7.52387e-05
5,2,0.00180961,-0.248631,0.00852095,-0.0148633,0.0113965,-0.00199416,2.81662e-05,0.00262426
6,2,-0.000410237,-0.205361,-0.000202683,0.0296414,0.00931213,-0.000724331,-0.0046388,-0.00165321
7,2,0.000553776,-0.215938,0.0129718,0.00528721,0.0134793,-0.000551679,-0.00900624,-0.0017848
8,2,-0.00231217,-0.262084,-0.00594296,0.00815106,-0.012122,0.000567724,0.00111561,0.00182534
9,2,0.00509421,-0.314735,0.00678557,0.020031,0.0056541,0.00246332,-0.00157291,0.000322109
10,2,0.000540761,-0.324057,0.00453604,0.00133912,-0.0188092,0.000426016,-0.00196075,0.000789457
1,3,0.0039517,0.296895,-0.00720799,0.00786531,-0.00427013,2.71656e-05,-0.000257497,0.00255918
2,3,0.00133576,0.346105,-0.0071909,-0.0103651,0.0112117,0.00332479,0.00155273,0.00201622
3,3,0.00127652,0.36051,-0.00346244,0.00284263,-0.0118582,0.00097381,-0.00106499,-0.00333041
4,3,-0.00164799,0.311976,0.000742548,-0.0109635,-0.0107324,0.000416523,-0.00220469,-0.00154569
5,3,-0.000649476,0.36284,0.000348643,0.0152401,-0.000955915,-0.00295697,-0.00592539,-0.000873855
6,3,-0.00159161,0.376803,-0.00572213,0.0122112,-0.0186602,-0.00186739,0.000193863,0.00103962
7,3,-0.00131097,0.310949,-0.00124839,0.00515312,-0.00983068,-0.000824295,-0.00893187,0.00200554
8,3,0.00416792,0.289684,0.00415542,-0.0215724,-0.00662107,-0.00147713,-0.00595624,0.0015441
9,3,-0.003815,0.348696,0.0061223,-0.00470979,2.7095e-05,-0.00273208,-0.00654593,0.00261768
10,3,-0.00339484,0.269392,0.000303666,0.0188602,0.0034069,-0.00269344,-0.000609964,0.00424323
1,4,0.00212337,0.0672779,0.000447928,-0.00528966,-0.0105245,0.000626649,-0.01223,-0.00102557
2,4,-0.00338769,0.0567612,-0.00323523,0.0315543,0.0172009,0.000686318,0.000711932,-6.89008e-05
3,4,-0.000919222,0.0078733,0.0108376,-0.0126231,0.00151041,0.00229259,-0.000562526,-0.0012785
4,4,0.000939179,0.0510135,0.012006,-0.0024445,-0.00764475,0.00210652,-0.00750078,-0.000573801
5,4,0.00416727,-0.000302049,-0.0065145,0.0109058,0.00819942,-0.000923732,-0.000466638,0.000652099
6,4,0.0010977,-0.0233289,0.00740385,-0.00450768,0.0143192,-0.00195512,0.00773239,0.00343071
7,4,-0.0010996,0.0300965,-0.00234711,0.0128079,0.00808815,0.00120614,0.00392035,0.00120742
8,4,-0.00174553,-0.0147409,-0.000476664,-0.00283983,0.0105858,-0.000900006,-0.00751447,-0.00242231
9,4,-0.00477519,0.0262563,-0.00539545,-0.00241732,0.0187954,-0.0019255,-0.003284,-0.000183179
10,4,-0.000915288,0.0129414,-0.00305435,-0.00621599,-0.0173785,0.00121877,-0.000258022,-0.00261743
1,5,0.00114921,0.554954,-0.00152827,-0.0328055,0.0118457,0.000295267,0.00259067,-0.00103916
2,5,0.00196759,0.498209,-0.00597943,-0.0077001,0.00525312,0.00340672,0.00321285,-0.000232565
3,5,0.00263353,0.503865,-0.0103074,0.00618676,-0.000816699,0.00325622,0.00761149,0.000904291
4,5,-0.00265798,0.474918,-0.00114238,0.00870559,-0.00457648,0.000745303,0.00294285,-0.00151371
5,5,0.00552723,0.501261,0.0021495,-0.0207063,-0.00754818,-0.00313665,0.00554526,0.000414949
6,5,-0.00207857,0.510358,0.00591453,-0.00736248,0.0112343,0.000771986,-0.00049829,-0.000457553
7,5,0.0017694,0.570525,-0.00580679,-0.0157255,0.0071119,0.000515461,-0.00500243,0.00067553
8,5,0.00465141,0.506504,-0.00321131,-0.00384574,0.0149739,0.00294169,-0.00377435,-0.000424061
9,5,-0.00268316,0.496977,0.00567632,0.0112395,0.0155163,0.00161939,0.00447388,0.00358078
10,5,-0.00163497,0.530157,0.00415813,0.00600061,-0.0055608,0.000865514,-0.00846466,0.00240752
1,6,0.0011282,0.386108,0.00728793,-0.00100095,0.00975213,0.00158953,-0.00175295,-0.000826309
2,6,-0.00155168,0.387809,0.00649931,-0.0203985,0.0031392,-9.23463e-05,-0.00284727,-0.00354129
3,6,-0.000468343,0.368,-0.0010009,0.00550029,0.00546577,-0.0023115,0.00198954,0.00230211
4,6,0.000388767,0.358438,0.0139432,0.00804168,-0.0294568,0.00121225,-0.00501494,0.00237563
5,6,0.00115771,0.419942,0.000972329,-0.010069,-0.00435642,-0.00122255,0.00839434,-0.000727518
6,6,-0.00292691,0.413141,-0.00229562,-0.00400712,-0.00790615,-0.000768114,0.00151252,-0.00392104
7,6,-0.00161739,0.26775,0.00300173,-0.0218907,-0.00801834,0.00054344,-0.00374718,-0.000549575
8,6,-0.000179671,0.435288,-0.00313528,0.0108694,-0.0331606,-0.000684465,-0.00158017,0.00130469
9,6,0.00129352,0.377618,-0.00440069,0.0140657,-0.0156561,0.00134161,0.000768788,-0.00419399
10,6,-0.00203752,0.378384,0.00157977,-0.00653633,-0.00684823,-0.00250908,-0.00176183,0.00127332
1,7,0.00311497,0.0639787,-0.00230217,0.00945232,0.0192742,0.00246835,0.00276518,-0.000198468
2,7,-0.0010528,0.0536345,-0.0109684,0.00504554,0.012978,-0.00109247,0.00358601,0.00260229
3,7,0.00647173,0.0768371,-0.00937757,0.0120301,-0.0120334,0.00198538,-0.00735729,-0.00272183
4,7,0.00249402,0.0020659,0.00705628,-0.0111395,0.0225596,0.000974139,-0.00209263,-0.00231275
5,7,0.00254809,0.0950888,-0.0107183,0.0260932,0.00378488,-0.000489923,-0.00571183,0.000445633
6,7,-0.000498466,0.0985263,0.000845277,0.00668187,0.00604605,0.000900034,0.00422323,0.00130382
7,7,0.00254673,0.10068,-0.00116908,-0.00287261,-0.0201968,0.00312063,0.000808014,0.00209965
8,7,-0.00228365,0.0611871,-0.012258,0.0133244,0.00148533,-0.000590327,7.6926e-05,0.000740263
9,7,-0.00410747,0.134645,-0.0173265,0.0163316,-0.0140325,-0.00193052,0.00375473,-0.000110325
10,7,-0.00077136,0.0616957,-0.011318,0.0110605,-0.00226252,0.00058381,0.00395113,-0.000424439
1,8,-0.000696028,0.375813,0.00514073,0.00770634,-0.00623131,-6.67532e-05,-0.00249584,0.00244262
2,8,-0.000863541,0.324493,-0.00367774,-0.0134245,-0.0151438,-0.00150823,-0.00191175,0.0012813
3,8,0.001347,0.397802,0.0042921,0.008678,0.00531748,-0.000273558,0.00278796,-0.00129454
4,8,-0.00359418,0.380226,0.00113714,-0.00637676,-0.0108622,-0.000533794,0.00279171,0.00057092
5,8,-0.00128317,0.389355,0.00109967,0.00254287,-0.00731304,-0.000375071,0.00230246,0.00146971
6,8,-0.00128382,0.391982,-6.43106e-05,-0.00126679,0.029181,-1.69931e-05,-0.00370467,-0.000727499
7,8,-0.000465073,0.394932,0.00793457,-0.000966673,-0.0201669,-1.25177e-05,0.002521,-0.00383143
8,8,0.00379941,0.388653,-0.00377792,0.00680373,-0.0135934,0.000736304,-0.00605485,0.00122483
9,8,-0.00252595,0.345794,-0.0023009,0.00217764,-0.00383265,0.00151543,-0.00460856,-0.00338814
10,8,0.002285,0.426802,-0.00255609,0.0039971,-0.0019331,0.00141833,-0.00417027,-0.000273945
1,9,-0.000347263,0.255282,-0.00779071,-0.00766518,0.00197339,-0.00203994,-0.00144011,-0.00176151
2,9,0.000488243,0.218797,0.00248421,0.0071947,0.0262316,-0.0010046,0.000587401,0.00088362
3,9,0.00275953,0.283329,-0.00134122,-0.0303156,-0.00811521,0.000617112,-0.00456509,0.00117298
4,9,0.0011199,0.296854,0.000188589,-0.00481137,0.0209962,0.0017549,0.00404861,0.0031103
5,9,0.00284113,0.172457,7.99917e-05,-0.0191301,-0.000797642,-0.00164802,-0.00160685,0.00184345
6,9,0.000973289,0.263761,0.00373422,-0.00796844,0.00109258,-0.00260836,0.00015793,-0.000570669
7,9,0.00212043,0.244538,-0.00717187,0.0117451,0.0163219,-0.000980482,0.00105482,0.00147669
8,9,3.5003e-05,0.264035,0.00785123,0.00356476,-0.0200581,-0.00101137,0.00209704,0.000642725
9,9,0.000670234,0.236893,-0.000811294,0.00791354,-0.0054826,0.00207557,-0.00177793,-0.00023363
10,9,0.00291769,0.290867,0.00265946,0.00199883,-0.00184621,-0.00357133,0.00458127,-0.000732208
1,10,-0.0002119,0.277886,0.00143475,-0.000234173,-0.00760114,-0.00378537,-0.00584653,-0.00093173
2,10,0.00122548,0.295353,-0.00117203,-0.0335438,0.000862296,0.00103515,-0.00894212,0.0017709
3,10,-0.0015469,0.279474,-0.0136957,-0.017643,-0.00585405,0.00117344,0.00442933,-0.00267112
4,10,0.00101394,0.302505,0.0023472,-0.00837693,-0.0225969,0.00357924,0.00459407,-0.00108891
5,10,0.00225579,0.269525,0.00404151,-0.0136802,-0.0310939,-0.00274221,-0.00617075,-0.00494037
6,10,0.000651672,0.328923,0.0024028,0.00432108,-0.00335353,-0.00140591,-0.00239027,0.000693652
7,10,0.00034657,0.264245,0.00448696,-0.00846583,-0.00675481,0.00175309,0.00050593,0.00029145
8,10,-0.00435332,0.256592,0.00103206,0.00578553,-0.0097457,0.000614122,-0.00467247,0.000279981
9,10,0.00179317,0.276752,-0.00689301,-0.0112899,-0.0186583,0.00190483,-0.00712929,0.000254463
10,10,-0.00274964,0.298104,0.00138797,-0.0131084,-0.00271229,0.00273882,-0.000990776,-0.000962567
1,11,-0.00111538,0.631759,0.00410441,-0.00145384,0.00600464,0.00356632,0.00264374,0.000102489
2,11,-0.00833572,0.668264,0.00191691,0.0232785,0.00500201,-0.00161754,-0.0028986,0.00285744
3,11,-0.00235225,0.698655,0.00224751,0.00560402,0.00160083,-0.00165568,0.00576928,0.00167545
4,11,0.00372402,0.690132,-0.00527807,-0.00717175,0.00599813,-0.00192277,0.0107493,-0.00309323
5,11,0.00108585,0.680788,0.00646247,0.0104423,0.00262808,-0.00269799,-0.00697543,-0.000562051
6,11,-0.00423572,0.653655,-0.00531002,0.0116138,-0.00756976,-0.00200832,0.000993932,0.000960568
7,11,-0.000244768,0.56455,0.003296,-0.0069136,-0.00227521,-0.0017899,0.00257811,-0.00144916
8,11,-0.000373058,0.613085,-0.00238888,0.00253411,0.00766558,-0.00199225,0.00071343,-0.000646995
9,11,-0.0040098,0.646389,0.00559458,-0.00986574,-0.00627089,0.00193065,-0.0029605,-0.00424713
10,11,0.00360083,0.671751,-0.0021941,0.0161054,0.0144518,0.00277988,0.00288897,0.00200048
1,12,-0.000297263,-0.223772,-0.00261948,0.00430139,-0.00407072,0.00281676,0.00399904,-0.00107281
2,12,-0.00700761,-0.206389,0.00554415,-0.00163513,-0.0160509,0.00279208,0.00217605,-0.000214499
3,12,-0.00185276,-0.234143,-0.00922077,-0.00599427,0.00785373,0.00238942,0.00150094,0.000518165
4,12,-0.000689853,-0.166895,0.000630862,0.00691776,0.0140883,-0.00102907,0.00116655,-0.000199353
5,12,0.00170872,-0.220147,-0.0020707,-0.0126254,0.00526138,0.000282222,0.0135422,-0.00218874
6,12,0.00358637,-0.153267,0.00621334,-0.00841792,-0.0131869,-0.00171061,0.00191588,-0.00318674
7,12,-0.000885403,-0.14412,0.00757533,0.0106546,0.00332748,-0.00184042,-0.000654263,-0.00133209
8,12,0.00123336,-0.204919,-0.00276954,-0.0154974,0.0160884,0.000665511,0.00458222,0.000875119
9,12,0.000365451,-0.214768,0.0146432,0.00288891,-0.00523815,0.00185785,0.00399114,-0.00231572
10,12,-0.00363724,-0.15677,-0.00026569,-0.00603027,0.00246659,0.00470518,-0.00289146,0.000285831
1,13,-0.00202933,-0.171766,0.000498388,0.0120068,0.00161632,-0.00161753,0.00237503,0.000647785
2,13,-0.00512256,-0.182431,-0.0020491,-0.00293463,0.0216405,0.000721923,-0.000200334,0.000454668
3,13,0.00226263,-0.196673,0.00120096,0.020446,0.00577397,-0.000531993,0.00295643,0.00280187
4,13,0.000180591,-0.147476,-0.00421391,0.000435083,0.00826345,0.0012895,-0.00753146,0.000279548
5,13,0.00702552,-0.172338,0.00319212,0.00512954,-0.00205195,0.00158919,0.00699395,0.000488069
6,13,0.00116724,-0.207571,0.00455679,-0.0110214,0.00538033,-0.00118157,-0.00894034,-0.000619048
7,13,-0.00236263,-0.131606,0.00692904,0.0189628,-0.0203842,0.00189813,-0.00293141,-0.00209353
8,13,-0.00292613,-0.129721,0.00177339,0.0146281,-0.00116196,-0.00364798,-0.00072145,0.00179728
9,13,0.000555831,-0.262138,0.0161689,0.0161154,0.0243303,0.00267185,0.00368785,0.00421157
10,13,0.000244266,-0.156903,0.00171621,0.00583221,0.013465,0.00184652,0.00211454,0.00173578
1,14,-0.00165789,-0.10738,-0.00922722,0.000297998,-0.00213687,0.00331231,-0.00425126,-0.00303046
2,14,0.0013352,-0.0517714,0.00458298,-0.00197039,-0.0109432,0.00136319,-0.00282188,0.00114369
3,14,-0.00346996,-0.0773124,0.00642958,0.00714196,-0.00863925,-0.00308559,0.00815937,-0.00180254
4,14,0.00119583,-0.00224401,-0.00995646,0.00454301,-0.0209496,-0.000336645,-0.0081117,0.0016312
5,14,-0.000406886,-0.0937785,0.00388532,0.00710813,-0.00798212,0.00169204,0.00130003,0.000134289
6,14,-0.00337322,-0.0316891,-0.0104181,0.00311905,0.000303151,0.00220224,0.000369886,-0.0010499
