rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00286829,-0.581119,0,0,0.0130536,0.00283739,-0.00672234,0.00168144
2,1,-0.00612131,-0.596668,0,0,0.0172625,-0.00333958,0.007129,0.000682183
3,1,-0.00269347,-0.525825,0,0,-0.00312997,0.00566055,0.00298634,-0.00457218
4,1,-0.00203693,-0.548572,0,0,-0.00893765,0.000298991,-0.00378802,-0.00150637
5,1,0.00198084,-0.49845,0,0,0.00353122,-0.000341047,0.000296302,0.000251594
6,1,0.000408076,-0.579642,0,0,0.000206609,-0.0033948,0.00424165,-0.000215832
7,1,-0.00375079,-0.53396,0,0,0.000530031,0.00375078,-0.00482028,0.00172702
8,1,0.00188712,-0.519506,0,0,0.00524615,0.00222525,-0.011216,-0.00207202
9,1,0.00083481,-0.59414,0,0,0.00036261,0.000245811,-0.00497889,0.000597581
10,1,0.000551356,-0.536808,0,0,0.00820865,-0.00135024,0.00657787,-0.000513517
1,2,-0.00139566,-0.198968,0,0,-0.0024294,-0.00310348,-0.00790724,-0.00163574
2,2,-0.00686518,-0.315663,0,0,-0.0118898,0.00147469,-0.0115203,0.00309022
3,2,-0.00804417,-0.351783,0,0,-0.0101924,0.00478747,-0.00440178,0.000279566
4,2,-0.00314494,-0.375879,0,0,0.0129239,0.000341953,0.00804875,0.00249835
5,2,-0.00678683,-0.321976,0,0,0.0128576,-0.00027413,-0.00331072,0.000893562
6,2,0.0058898,-0.281101,0,0,0.00119225,-0.000388374,-0.00761465,0.000712301
7,2,0.00129737,-0.286671,0,0,0.00974733,0.00027477,0.00359736,0.000714778
8,2,-0.00365679,-0.253207,0,0,0.00164141,0.00197289,-0.00289052,0.00217293
9,2,-0.0013669,-0.259353,0,0,0.00435237,0.00299775,0.00186744,0.00378346
10,2,0.00187408,-0.259564,0,0,0.00573265,-0.00188094,-0.00726213,-0.00159465
1,3,0.00118252,0.334486,0,0,0.00579036,-0.000850223,-0.00480961,0.000765529
2,3,0.000153938,0.322092,0,0,0.00454214,0.000187244,-0.00232875,0.00113854
3,3,0.00243166,0.305235,0,0,0.00425977,-0.00684627,-0.00838947,0.000301965
4,3,-0.00481314,0.319287,0,0,-0.0013689,-0.00320677,-0.000785859,0.00255822
5,3,-0.0077586,0.282013,0,0,0.00453919,-0.00237737,-0.00175933,-0.00120249
6,3,-0.00121523,0.289993,0,0,0.0027266,-0.000802125,0.00400463,-0.00115161
7,3,-0.000259199,0.31039,0,0,-0.0168658,-0.0011494,-0.00480573,-0.000507529
8,3,0.00678593,0.304677,0,0,-0.00969894,-0.00520162,-0.00837294,0.00115718
9,3,-0.00262417,0.295736,0,0,-0.00134988,-0.00330736,-0.000146879,0.00341727
10,3,-0.00446551,0.333313,0,0,0.00390474,0.00340038,-0.000168443,0.00306018
1,4,-0.00436538,0.036329,0,0,0.00341852,0.00104778,0.00896464,-0.00196327
2,4,-0.005289,-0.0276899,0,0,-0.0162871,9.84795e-05,-0.00706746,-0.00177664
3,4,-0.0046744,-0.00202517,0,0,0.0100094,-0.00268991,-0.00288023,-0.000202014
4,4,-0.000505964,0.0104705,0,0,-0.00180813,0.00477301,0.00611057,-0.00128182
5,4,0.00383008,-0.00526628,0,0,0.00570635,0.00284739,-0.00186761,0.00154614
6,4,0.0107881,-0.019093,0,0,0.00268015,0.00577242,-0.00258777,0.000210981
7,4,-0.00761408,-0.0163435,0,0,0.00649932,0.00095168,-0.00856621,-0.000358003
8,4,9.93496e-05,0.0305865,0,0,0.0109602,0.00594048,-0.00404397,0.00101757
9,4,0.000137285,0.0383158,0,0,0.00338508,0.0043525,0.000843418,0.000508377
10,4,0.00259173,0.0432697,0,0,-0.00391552,0.00260299,0.00162035,-0.000282479
1,5,-0.00295795,0.503271,0,0,0.0046924,0.00468671,0.00369918,0.00132757
2,5,-0.00881133,0.504473,0,0,-0.00303002,-0.00136254,-0.000107501,0.00237288
3,5,-0.000702706,0.528522,0,0,0.00473114,1.502e-05,0.00117212,-0.00227803
4,5,-0.00242914,0.499275,0,0,-0.00115684,-0.000810593,-0.00219886,0.00399391
5,5,0.00088121,0.505559,0,0,-0.0044976,0.00221258,-0.00301439,0.000614263
