rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0.000387088,-0.57849,0,0.0239036,0.0044113,0,0,-0.00172744
2,1,0.00165296,-0.562901,0,0.00837776,0.00153884,0,0,-0.000955962
3,1,0.00388397,-0.508673,0,-0.000211557,0.00992098,0,0,-0.000898224
4,1,-0.00337486,-0.554505,0,0.00700522,-0.00246685,0,0,-0.0023647
5,1,0.000167927,-0.553026,0,-0.0028583,0.0103653,0,0,-0.000264785
6,1,0.00278818,-0.502162,0,0.00293848,0.0110329,0,0,-0.00161169
7,1,0.00104275,-0.475875,0,0.000146582,-0.000745923,0,0,-0.000421695
8,1,-0.00220651,-0.554693,0,-0.0149766,-0.0148016,0,0,-0.00144837
9,1,-0.00257661,-0.573706,0,0.0012884,0.00132807,0,0,-0.00079643
10,1,3.44384e-05,-0.553712,0,0.0281079,0.00294526,0,0,0.000644986
1,2,0.000809368,-0.345605,0,-0.0172762,-0.00297406,0,0,-0.000376684
2,2,-0.00340687,-0.30265,0,0.0308549,-0.0153029,0,0,-0.00196014
3,2,-0.00206913,-0.184154,0,0.0106467,0.000373437,0,0,-0.000953099
4,2,0.00612151,-0.252836,0,0.00977287,0.017409,0,0,-0.000533315
5,2,0.000194674,-0.297668,0,-0.0194248,0.00217821,0,0,0.00251512
6,2,-0.00637508,-0.269003,0,-0.000761173,0.00467964,0,0,-0.00200299
7,2,-0.00368198,-0.34369,0,-0.0123157,-0.000147627,0,0,0.000334782
8,2,-0.00195511,-0.288285,0,-0.00769119,0.00690648,0,0,-0.000927174
9,2,0.00301447,-0.346672,0,-0.0284502,-0.00229147,0,0,0.00137601
10,2,0.00297444,-0.221218,0,0.00663472,0.00268391,0,0,0.00129664
1,3,0.00466252,0.36834,0,0.028205,-0.00616357,0,0,0.00149523
2,3,0.000914915,0.315253,0,0.0048803,0.000860192,0,0,0.00318067
3,3,0.00410358,0.344348,0,0.0325111,-0.00994113,0,0,0.000765693
4,3,0.00139615,0.355136,0,-0.00609958,-0.0071606,0,0,0.00243548
5,3,0.00147835,0.352549,0,0.0060213,0.017116,0,0,-0.00113136
6,3,0.00867405,0.344839,0,0.00279454,0.00515345,0,0,0.00132626
7,3,0.00706281,0.333903,0,0.0114917,0.00200892,0,0,0.00320292
