rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.598656,0,0,0,0.000301448,0,0
2,1,0,-0.591782,0,0,0,0.00335026,0,0
3,1,0,-0.58215,0,0,0,0.00130276,0,0
4,1,0,-0.550267,0,0,0,-0.00323528,0,0
5,1,0,-0.545852,0,0,0,0.00477126,0,0
6,1,0,-0.541678,0,0,0,-0.00130635,0,0
7,1,0,-0.532546,0,0,0,-0.000327656,0,0
8,1,0,-0.589485,0,0,0,0.00225495,0,0
9,1,0,-0.456805,0,0,0,0.000427904,0,0
10,1,0,-0.591448,0,0,0,-0.00416574,0,0
1,2,0,-0.348727,0,0,0,-0.00121334,0,0
2,2,0,-0.188727,0,0,0,0.00548102,0,0
3,2,0,-0.274889,0,0,0,0.00218408,0,0
4,2,0,-0.292633,0,0,0,0.00092161,0,0
5,2,0,-0.254046,0,0,0,0.00467164,0,0
6,2,0,-0.302998,0,0,0,-0.00110086,0,0
7,2,0,-0.274571,0,0,0,-0.00280399,0,0
8,2,0,-0.224547,0,0,0,0.000557893,0,0
9,2,0,-0.216913,0,0,0,0.00106425,0,0
10,2,0,-0.216919,0,0,0,0.00302609,0,0
1,3,0,0.2557,0,0,0,0.000586925,0,0
2,3,0,0.298184,0,0,0,-0.0022925,0,0
3,3,0,0.336559,0,0,0,0.00201673,0,0
4,3,0,0.360348,0,0,0,-0.00349217,0,0
5,3,0,0.337337,0,0,0,-0.000503258,0,0
6,3,0,0.317859,0,0,0,-0.00457825,0,0
7,3,0,0.396038,0,0,0,-0.0055033,0,0
8,3,0,0.332534,0,0,0,0.001047,0,0
9,3,0,0.295959,0,0,0,7.40671e-05,0,0
10,3,0,0.365841,0,0,0,0.000953565,0,0
1,4,0,0.0105991,0,0,0,-0.000618787,0,0
2,4,0,0.0284783,0,0,0,-0.000847839,0,0
3,4,0,0.0426466,0,0,0,0.00242501,0,0
4,4,0,0.0301777,0,0,0,-0.000524383,0,0
5,4,0,0.0883222,0,0,0,0.000675596,0,0
6,4,0,-0.0318537,0,0,0,-0.000512258,0,0
7,4,0,0.0228355,0,0,0,0.0006874,0,0
8,4,0,-0.0219641,0,0,0,-0.00268746,0,0
9,4,0,-0.00154715,0,0,0,-0.000588444,0,0
10,4,0,-0.0208969,0,0,0,0.00109225,0,0
1,5,0,0.520726,0,0,0,0.00061234,0,0
2,5,0,0.547432,0,0,0,0.000732131,0,0
3,5,0,0.468621,0,0,0,0.00415135,0,0
4,5,0,0.508676,0,0,0,0.00149423,0,0
5,5,0,0.581702,0,0,0,0.000480539,0,0
6,5,0,0.547228,0,0,0,-0.00167795,0,0
7,5,0,0.494199,0,0,0,0.00209494,0,0
8,5,0,0.493524,0,0,0,0.00239973,0,0
9,5,0,0.48326,0,0,0,-0.000357907,0,0
10,5,0,0.517833,0,0,0,-0.000189025,0,0
1,6,0,0.38299,0,0,0,0.000892964,0,0
2,6,0,0.418185,0,0,0,0.00186032,0,0
3,6,0,0.33286,0,0,0,0.000574945,0,0
4,6,0,0.433121,0,0,0,-0.00165329,0,0
5,6,0,0.430126,0,0,0,0.00279425,0,0
6,6,0,0.414776,0,0,0,-0.00217348,0,0
7,6,0,0.415285,0,0,0,-0.000401006,0,0
8,6,0,0.464235,0,0,0,0.00140233,0,0
9,6,0,0.371596,0,0,0,-0.000679282,0,0
10,6,0,0.381992,0,0,0,0.000521421,0,0
1,7,0,0.0424613,0,0,0,0.000966594,0,0
2,7,0,0.0419372,0,0,0,-0.00176221,0,0
3,7,0,0.0191741,0,0,0,0.00211101,0,0
4,7,0,0.073691,0,0,0,0.0017515,0,0
5,7,0,0.055089,0,0,0,0.000924065,0,0
6,7,0,0.0671159,0,0,0,-0.00159767,0,0
7,7,0,-0.0337189,0,0,0,0.00653084,0,0
8,7,0,0.0266983,0,0,0,-0.00109439,0,0
9,7,0,0.0576131,0,0,0,0.000662274,0,0
10,7,0,0.0647585,0,0,0,-0.00207132,0,0
1,8,0,0.369493,0,0,0,-0.00135181,0,0
2,8,0,0.39959,0,0,0,-0.00310455,0,0
3,8,0,0.36622,0,0,0,-0.00320396,0,0
4,8,0,0.409844,0,0,0,-0.00132171,0,0
5,8,0,0.336237,0,0,0,-0.00215408,0,0
6,8,0,0.431229,0,0,0,0.00158452,0,0
7,8,0,0.335625,0,0,0,2.10306e-05,0,0
8,8,0,0.429619,0,0,0,0.0014904,0,0
9,8,0,0.305501,0,0,0,0.00201279,0,0
10,8,0,0.395587,0,0,0,0.00114104,0,0
1,9,0,0.211831,0,0,0,-0.0027632,0,0
2,9,0,0.275656,0,0,0,-0.0008891,0,0
3,9,0,0.220996,0,0,0,-0.00161989,0,0
4,9,0,0.238813,0,0,0,-0.00129717,0,0
5,9,0,0.247884,0,0,0,-0.0016294,0,0
6,9,0,0.28518,0,0,0,-0.00180033,0,0
7,9,0,0.274288,0,0,0,-0.00302024,0,0
8,9,0,0.19289,0,0,0,-0.00340824,0,0
9,9,0,0.216873,0,0,0,0.000595878,0,0
10,9,0,0.233616,0,0,0,-0.00193978,0,0
1,10,0,0.325148,0,0,0,0.000840581,0,0
2,10,0,0.318669,0,0,0,0.00233685,0,0
3,10,0,0.338486,0,0,0,0.000333127,0,0
4,10,0,0.292844,0,0,0,0.00139909,0,0
5,10,0,0.292783,0,0,0,0.000589285,0,0
6,10,0,0.339412,0,0,0,-0.00242771,0,0
7,10,0,0.283413,0,0,0,0.00435982,0,0
8,10,0,0.275024,0,0,0,0.00032349,0,0
9,10,0,0.228722,0,0,0,0.00214565,0,0
10,10,0,0.294581,0,0,0,0.00283056,0,0
1,11,0,0.664935,0,0,0,0.00172049,0,0
2,11,0,0.63518,0,0,0,-0.000166978,0,0
3,11,0,0.677317,0,0,0,0.000788031,0,0
4,11,0,0.645642,0,0,0,0.00256057,0,0
5,11,0,0.685219,0,0,0,-0.00109622,0,0
6,11,0,0.600694,0,0,0,-0.00250111,0,0
7,11,0,0.629877,0,0,0,7.11614e-05,0,0
8,11,0,0.645931,0,0,0,0.00117639,0,0
9,11,0,0.614995,0,0,0,-0.00120502,0,0
10,11,0,0.706601,0,0,0,-0.00157982,0,0
1,12,0,-0.135891,0,0,0,-0.00351964,0,0
2,12,0,-0.203283,0,0,0,0.000315509,0,0
3,12,0,-0.186414,0,0,0,0.00128105,0,0
4,12,0,-0.128187,0,0,0,0.00368392,0,0
5,12,0,-0.188355,0,0,0,0.00176999,0,0
6,12,0,-0.148392,0,0,0,0.00140944,0,0
7,12,0,-0.166104,0,0,0,-0.00103091,0,0
8,12,0,-0.196324,0,0,0,0.00302432,0,0
9,12,0,-0.271519,0,0,0,-0.00322023,0,0
10,12,0,-0.289475,0,0,0,-0.00230797,0,0
1,13,0,-0.17676,0,0,0,-0.00205828,0,0
2,13,0,-0.161088,0,0,0,0.00281171,0,0
3,13,0,-0.207451,0,0,0,0.003274,0,0
