rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.519174,0,0.000143551,0.0176411,0,0,-0.00315332
2,1,0,-0.517348,0,-0.00447303,-0.0129819,0,0,0.0029742
3,1,0,-0.604882,0,0.00814472,0.00963518,0,0,0.00488152
4,1,0,-0.59508,0,-0.0142571,0.0104455,0,0,0.000440933
5,1,0,-0.552492,0,0.0155371,-0.00850477,0,0,-0.000784224
6,1,0,-0.56271,0,0.00194372,0.0049497,0,0,0.00032722
7,1,0,-0.535814,0,-0.000964787,0.0181869,0,0,0.0011257
8,1,0,-0.56743,0,-0.00113305,0.025016,0,0,-0.00266624
9,1,0,-0.575645,0,-0.00224336,-0.000576555,0,0,0.000803759
10,1,0,-0.550812,0,0.010782,-0.00978671,0,0,-0.00575249
1,2,0,-0.247886,0,0.0018409,0.00377748,0,0,0.00251066
2,2,0,-0.360112,0,-0.00266417,-0.0106667,0,0,-0.00111419
3,2,0,-0.342069,0,-0.00558043,-0.00356685,0,0,0.000508445
4,2,0,-0.279177,0,0.0119803,-0.000308083,0,0,0.000806079
5,2,0,-0.36948,0,0.00414084,-0.00745818,0,0,0.00166772
6,2,0,-0.255689,0,-0.00234439,0.0123612,0,0,-0.00445998
7,2,0,-0.259432,0,-0.00429831,0.00518494,0,0,0.0050942
8,2,0,-0.24407,0,0.01531,-0.015589,0,0,0.00187247
9,2,0,-0.247755,0,-0.00160276,-0.000473052,0,0,0.00248537
10,2,0,-0.216399,0,-0.00538221,0.000258549,0,0,-0.000818036
1,3,0,0.308704,0,0.00595709,0.0149651,0,0,0.000666412
2,3,0,0.384988,0,0.0139177,0.00365437,0,0,0.00285739
3,3,0,0.324358,0,0.00365464,0.0155179,0,0,0.00177665
4,3,0,0.29989,0,0.0104456,-0.012499,0,0,0.00261748
5,3,0,0.357707,0,0.00527403,0.00568217,0,0,0.00719308
6,3,0,0.430596,0,0.0145772,0.00107569,0,0,0.00159505
7,3,0,0.293605,0,-0.00398659,-0.0161927,0,0,0.000906366
8,3,0,0.369276,0,0.0118439,-0.0099397,0,0,-0.00157441
9,3,0,0.341875,0,0.0143171,0.00408287,0,0,-0.000127455
10,3,0,0.298076,0,0.00184339,-0.00871499,0,0,0.00120903
1,4,0,-0.03551,0,0.0101366,0.00388662,0,0,0.0019742
2,4,0,0.0830807,0,-0.00261577,0.00644201,0,0,-0.000388544
3,4,0,-0.00663149,0,0.00549177,0.0213918,0,0,-0.00417626
4,4,0,-0.00220865,0,-0.00191754,0.0018323,0,0,-0.00463748
5,4,0,0.0285055,0,-0.00663516,0.0199876,0,0,-0.00200548
6,4,0,0.0220263,0,-0.00464701,0.0131862,0,0,0.00141887
7,4,0,0.0462359,0,0.00999039,0.000478636,0,0,0.00668005
8,4,0,-0.0460843,0,-0.0141711,-0.00120735,0,0,0.00111479
9,4,0,0.0505395,0,-0.00261068,0.0220709,0,0,-0.00497823
10,4,0,0.02027,0,-0.00608849,0.0110982,0,0,0.00273301
1,5,0,0.54517,0,0.00392188,0.0183589,0,0,0.00408516
2,5,0,0.486665,0,-0.00783317,0.0132803,0,0,-0.00492012
3,5,0,0.478761,0,-0.00903039,0.0136923,0,0,-0.0038889
4,5,0,0.488201,0,-0.00341407,-0.00140519,0,0,-0.000815904
