rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.531143,0,0,0,0,0,0
2,1,0,-0.556292,0,0,0,0,0,0
3,1,0,-0.562048,0,0,0,0,0,0
4,1,0,-0.61631,0,0,0,0,0,0
5,1,0,-0.58993,0,0,0,0,0,0
6,1,0,-0.554838,0,0,0,0,0,0
7,1,0,-0.582952,0,0,0,0,0,0
8,1,0,-0.556678,0,0,0,0,0,0
9,1,0,-0.570456,0,0,0,0,0,0
10,1,0,-0.523577,0,0,0,0,0,0
1,2,0,-0.258292,0,0,0,0,0,0
2,2,0,-0.277214,0,0,0,0,0,0
3,2,0,-0.332978,0,0,0,0,0,0
4,2,0,-0.277214,0,0,0,0,0,0
5,2,0,-0.283094,0,0,0,0,0,0
6,2,0,-0.278008,0,0,0,0,0,0
7,2,0,-0.266894,0,0,0,0,0,0
8,2,0,-0.280768,0,0,0,0,0,0
9,2,0,-0.276799,0,0,0,0,0,0
10,2,0,-0.279461,0,0,0,0,0,0
1,3,0,0.319586,0,0,0,0,0,0
2,3,0,0.32637,0,0,0,0,0,0
3,3,0,0.328182,0,0,0,0,0,0
4,3,0,0.283828,0,0,0,0,0,0
5,3,0,0.308467,0,0,0,0,0,0
6,3,0,0.305831,0,0,0,0,0,0
7,3,0,0.340197,0,0,0,0,0,0
8,3,0,0.35027,0,0,0,0,0,0
9,3,0,0.313647,0,0,0,0,0,0
10,3,0,0.294797,0,0,0,0,0,0
1,4,0,0.0504237,0,0,0,0,0,0
2,4,0,-0.0455765,0,0,0,0,0,0
3,4,0,0.0412473,0,0,0,0,0,0
4,4,0,0.0179764,0,0,0,0,0,0
5,4,0,-0.0168146,0,0,0,0,0,0
6,4,0,0.0571157,0,0,0,0,0,0
7,4,0,0.0747689,0,0,0,0,0,0
8,4,0,0.0897491,0,0,0,0,0,0
9,4,0,0.0652187,0,0,0,0,0,0
10,4,0,0.0179606,0,0,0,0,0,0
1,5,0,0.498461,0,0,0,0,0,0
2,5,0,0.525154,0,0,0,0,0,0
3,5,0,0.544043,0,0,0,0,0,0
4,5,0,0.497033,0,0,0,0,0,0
5,5,0,0.506407,0,0,0,0,0,0
6,5,0,0.467311,0,0,0,0,0,0
7,5,0,0.508767,0,0,0,0,0,0
8,5,0,0.512947,0,0,0,0,0,0
9,5,0,0.507272,0,0,0,0,0,0
10,5,0,0.505666,0,0,0,0,0,0
1,6,0,0.39774,0,0,0,0,0,0
2,6,0,0.335842,0,0,0,0,0,0
3,6,0,0.351101,0,0,0,0,0,0
4,6,0,0.368027,0,0,0,0,0,0
5,6,0,0.358144,0,0,0,0,0,0
6,6,0,0.380208,0,0,0,0,0,0
7,6,0,0.406611,0,0,0,0,0,0
8,6,0,0.370009,0,0,0,0,0,0
9,6,0,0.387892,0,0,0,0,0,0
10,6,0,0.386137,0,0,0,0,0,0
1,7,0,0.0405545,0,0,0,0,0,0
2,7,0,0.103895,0,0,0,0,0,0
3,7,0,0.0352309,0,0,0,0,0,0
4,7,0,0.0388674,0,0,0,0,0,0
5,7,0,0.0550695,0,0,0,0,0,0
6,7,0,0.00329189,0,0,0,0,0,0
7,7,0,0.0918318,0,0,0,0,0,0
8,7,0,0.0472693,0,0,0,0,0,0
9,7,0,0.0544504,0,0,0,0,0,0
10,7,0,0.0414975,0,0,0,0,0,0
1,8,0,0.45631,0,0,0,0,0,0
2,8,0,0.355239,0,0,0,0,0,0
3,8,0,0.352317,0,0,0,0,0,0
4,8,0,0.41165,0,0,0,0,0,0
5,8,0,0.440798,0,0,0,0,0,0
6,8,0,0.413115,0,0,0,0,0,0
7,8,0,0.418652,0,0,0,0,0,0
8,8,0,0.361418,0,0,0,0,0,0
9,8,0,0.368728,0,0,0,0,0,0
10,8,0,0.393199,0,0,0,0,0,0
1,9,0,0.209008,0,0,0,0,0,0
2,9,0,0.148919,0,0,0,0,0,0
3,9,0,0.298532,0,0,0,0,0,0
4,9,0,0.206571,0,0,0,0,0,0
5,9,0,0.181137,0,0,0,0,0,0
6,9,0,0.230015,0,0,0,0,0,0
7,9,0,0.26238,0,0,0,0,0,0
8,9,0,0.263698,0,0,0,0,0,0
9,9,0,0.299447,0,0,0,0,0,0
10,9,0,0.162224,0,0,0,0,0,0
1,10,0,0.300886,0,0,0,0,0,0
2,10,0,0.27192,0,0,0,0,0,0
3,10,0,0.281083,0,0,0,0,0,0
4,10,0,0.316631,0,0,0,0,0,0
5,10,0,0.316,0,0,0,0,0,0
6,10,0,0.26999,0,0,0,0,0,0
7,10,0,0.335878,0,0,0,0,0,0
8,10,0,0.248636,0,0,0,0,0,0
9,10,0,0.306935,0,0,0,0,0,0
10,10,0,0.304625,0,0,0,0,0,0
1,11,0,0.637562,0,0,0,0,0,0
2,11,0,0.642305,0,0,0,0,0,0
3,11,0,0.656017,0,0,0,0,0,0
4,11,0,0.687929,0,0,0,0,0,0
5,11,0,0.678032,0,0,0,0,0,0
6,11,0,0.641952,0,0,0,0,0,0
7,11,0,0.565462,0,0,0,0,0,0
8,11,0,0.620252,0,0,0,0,0,0
9,11,0,0.608753,0,0,0,0,0,0
10,11,0,0.637046,0,0,0,0,0,0
1,12,0,-0.130517,0,0,0,0,0,0
2,12,0,-0.183942,0,0,0,0,0,0
3,12,0,-0.226085,0,0,0,0,0,0
4,12,0,-0.120559,0,0,0,0,0,0
5,12,0,-0.142294,0,0,0,0,0,0
6,12,0,-0.181138,0,0,0,0,0,0
7,12,0,-0.158254,0,0,0,0,0,0
8,12,0,-0.17362,0,0,0,0,0,0
9,12,0,-0.122852,0,0,0,0,0,0
10,12,0,-0.126389,0,0,0,0,0,0
1,13,0,-0.217551,0,0,0,0,0,0
2,13,0,-0.184714,0,0,0,0,0,0
