rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.532737,0,0,0,0,0,0
2,1,0,-0.557047,0,0,0,0,0,0
3,1,0,-0.549719,0,0,0,0,0,0
4,1,0,-0.642485,0,0,0,0,0,0
5,1,0,-0.576956,0,0,0,0,0,0
6,1,0,-0.567247,0,0,0,0,0,0
7,1,0,-0.571791,0,0,0,0,0,0
8,1,0,-0.534142,0,0,0,0,0,0
9,1,0,-0.555996,0,0,0,0,0,0
10,1,0,-0.617485,0,0,0,0,0,0
1,2,0,-0.277119,0,0,0,0,0,0
2,2,0,-0.298919,0,0,0,0,0,0
3,2,0,-0.33877,0,0,0,0,0,0
4,2,0,-0.263113,0,0,0,0,0,0
5,2,0,-0.283709,0,0,0,0,0,0
6,2,0,-0.250333,0,0,0,0,0,0
7,2,0,-0.296697,0,0,0,0,0,0
8,2,0,-0.338134,0,0,0,0,0,0
9,2,0,-0.28016,0,0,0,0,0,0
10,2,0,-0.247406,0,0,0,0,0,0
1,3,0,0.319605,0,0,0,0,0,0
2,3,0,0.326677,0,0,0,0,0,0
3,3,0,0.328996,0,0,0,0,0,0
4,3,0,0.283744,0,0,0,0,0,0
5,3,0,0.309188,0,0,0,0,0,0
6,3,0,0.307167,0,0,0,0,0,0
7,3,0,0.341321,0,0,0,0,0,0
8,3,0,0.351308,0,0,0,0,0,0
9,3,0,0.3111,0,0,0,0,0,0
10,3,0,0.294516,0,0,0,0,0,0
1,4,0,0.0534208,0,0,0,0,0,0
2,4,0,-0.0489807,0,0,0,0,0,0
3,4,0,0.0439574,0,0,0,0,0,0
4,4,0,0.0151321,0,0,0,0,0,0
5,4,0,0.0187536,0,0,0,0,0,0
6,4,0,0.0571694,0,0,0,0,0,0
7,4,0,0.0753447,0,0,0,0,0,0
8,4,0,0.0897561,0,0,0,0,0,0
9,4,0,0.068749,0,0,0,0,0,0
10,4,0,0.020441,0,0,0,0,0,0
1,5,0,0.498287,0,0,0,0,0,0
2,5,0,0.528022,0,0,0,0,0,0
3,5,0,0.545796,0,0,0,0,0,0
4,5,0,0.498859,0,0,0,0,0,0
5,5,0,0.506103,0,0,0,0,0,0
6,5,0,0.468907,0,0,0,0,0,0
7,5,0,0.503919,0,0,0,0,0,0
8,5,0,0.513553,0,0,0,0,0,0
9,5,0,0.504944,0,0,0,0,0,0
10,5,0,0.506464,0,0,0,0,0,0
1,6,0,0.399031,0,0,0,0,0,0
2,6,0,0.419952,0,0,0,0,0,0
3,6,0,0.35018,0,0,0,0,0,0
4,6,0,0.383258,0,0,0,0,0,0
5,6,0,0.358829,0,0,0,0,0,0
6,6,0,0.366569,0,0,0,0,0,0
7,6,0,0.430491,0,0,0,0,0,0
8,6,0,0.41368,0,0,0,0,0,0
9,6,0,0.387103,0,0,0,0,0,0
10,6,0,0.386718,0,0,0,0,0,0
1,7,0,0.0398643,0,0,0,0,0,0
2,7,0,0.104311,0,0,0,0,0,0
3,7,0,0.0346041,0,0,0,0,0,0
4,7,0,0.0354525,0,0,0,0,0,0
5,7,0,0.0539434,0,0,0,0,0,0
6,7,0,0.000725831,0,0,0,0,0,0
7,7,0,0.0919182,0,0,0,0,0,0
8,7,0,0.0472171,0,0,0,0,0,0
9,7,0,0.0518594,0,0,0,0,0,0
10,7,0,0.0405995,0,0,0,0,0,0
1,8,0,0.458882,0,0,0,0,0,0
2,8,0,0.354591,0,0,0,0,0,0
3,8,0,0.351364,0,0,0,0,0,0
4,8,0,0.413692,0,0,0,0,0,0
5,8,0,0.44136,0,0,0,0,0,0
6,8,0,0.413504,0,0,0,0,0,0
7,8,0,0.419133,0,0,0,0,0,0
8,8,0,0.361758,0,0,0,0,0,0
9,8,0,0.366078,0,0,0,0,0,0
10,8,0,0.394847,0,0,0,0,0,0
1,9,0,0.207377,0,0,0,0,0,0
2,9,0,0.228097,0,0,0,0,0,0
3,9,0,0.233759,0,0,0,0,0,0
4,9,0,0.206208,0,0,0,0,0,0
5,9,0,0.182918,0,0,0,0,0,0
6,9,0,0.230181,0,0,0,0,0,0
7,9,0,0.26262,0,0,0,0,0,0
8,9,0,0.263946,0,0,0,0,0,0
9,9,0,0.307517,0,0,0,0,0,0
10,9,0,0.161047,0,0,0,0,0,0
1,10,0,0.303407,0,0,0,0,0,0
2,10,0,0.269218,0,0,0,0,0,0
3,10,0,0.280996,0,0,0,0,0,0
4,10,0,0.315931,0,0,0,0,0,0
5,10,0,0.315749,0,0,0,0,0,0
6,10,0,0.270823,0,0,0,0,0,0
7,10,0,0.336486,0,0,0,0,0,0
8,10,0,0.248528,0,0,0,0,0,0
9,10,0,0.307224,0,0,0,0,0,0
10,10,0,0.307878,0,0,0,0,0,0
1,11,0,0.637001,0,0,0,0,0,0
2,11,0,0.645532,0,0,0,0,0,0
3,11,0,0.656971,0,0,0,0,0,0
4,11,0,0.693608,0,0,0,0,0,0
5,11,0,0.701195,0,0,0,0,0,0
6,11,0,0.647099,0,0,0,0,0,0
7,11,0,0.55854,0,0,0,0,0,0
8,11,0,0.620301,0,0,0,0,0,0
9,11,0,0.609056,0,0,0,0,0,0
10,11,0,0.638583,0,0,0,0,0,0
1,12,0,-0.13361,0,0,0,0,0,0
2,12,0,-0.186124,0,0,0,0,0,0
3,12,0,-0.228503,0,0,0,0,0,0
4,12,0,-0.131847,0,0,0,0,0,0
5,12,0,-0.143352,0,0,0,0,0,0
6,12,0,-0.161597,0,0,0,0,0,0
7,12,0,-0.158067,0,0,0,0,0,0
8,12,0,-0.177688,0,0,0,0,0,0
9,12,0,-0.119615,0,0,0,0,0,0
10,12,0,-0.126508,0,0,0,0,0,0
1,13,0,-0.172168,0,0,0,0,0,0
2,13,0,-0.18632,0,0,0,0,0,0
3,13,0,-0.15004,0,0,0,0,0,0
4,13,0,-0.216484,0,0,0,0,0,0
5,13,0,-0.189534,0,0,0,0,0,0
6,13,0,-0.168197,0,0,0,0,0,0
7,13,0,-0.17539,0,0,0,0,0,0
8,13,0,-0.169363,0,0,0,0,0,0
9,13,0,-0.205567,0,0,0,0,0,0
10,13,0,-0.249668,0,0,0,0,0,0
1,14,0,-0.077013,0,0,0,0,0,0
2,14,0,-0.0694297,0,0,0,0,0,0
3,14,0,-0.120113,0,0,0,0,0,0
4,14,0,-0.0570687,0,0,0,0,0,0
5,14,0,-0.107241,0,0,0,0,0,0
6,14,0,-0.014524,0,0,0,0,0,0
7,14,0,-0.0251219,0,0,0,0,0,0
8,14,0,-0.0653413,0,0,0,0,0,0
9,14,0,-0.0134282,0,0,0,0,0,0
10,14,0,-0.0694407,0,0,0,0,0,0
1,15,0,-0.0566358,0,0,0,0,0,0
2,15,0,-0.0825639,0,0,0,0,0,0
3,15,0,-0.0724628,0,0,0,0,0,0
4,15,0,-0.0981288,0,0,0,0,0,0
5,15,0,-0.084263,0,0,0,0,0,0
6,15,0,-0.0328514,0,0,0,0,0,0
7,15,0,0.0178238,0,0,0,0,0,0
8,15,0,-0.104921,0,0,0,0,0,0
9,15,0,-0.0934809,0,0,0,0,0,0
10,15,0,-0.0378771,0,0,0,0,0,0
1,16,0,-0.12655,0,0,0,0,0,0
2,16,0,-0.121436,0,0,0,0,0,0
3,16,0,-0.091246,0,0,0,0,0,0
4,16,0,-0.163382,0,0,0,0,0,0
5,16,0,-0.124798,0,0,0,0,0,0
6,16,0,-0.113008,0,0,0,0,0,0
7,16,0,-0.114347,0,0,0,0,0,0
8,16,0,-0.163091,0,0,0,0,0,0
9,16,0,-0.119187,0,0,0,0,0,0
10,16,0,-0.130442,0,0,0,0,0,0
1,17,0,-0.378339,0,0,0,0,0,0
2,17,0,-0.321739,0,0,0,0,0,0
3,17,0,-0.364439,0,0,0,0,0,0
4,17,0,-0.368761,0,0,0,0,0,0
5,17,0,-0.313032,0,0,0,0,0,0
6,17,0,-0.33448,0,0,0,0,0,0
7,17,0,-0.324712,0,0,0,0,0,0
8,17,0,-0.329103,0,0,0,0,0,0
9,17,0,-0.331689,0,0,0,0,0,0
10,17,0,-0.314068,0,0,0,0,0,0
1,18,0,-0.0761474,0,0,0,0,0,0
2,18,0,-0.0657979,0,0,0,0,0,0
3,18,0,-0.0841125,0,0,0,0,0,0
4,18,0,-0.113499,0,0,0,0,0,0
5,18,0,-0.0914799,0,0,0,0,0,0
6,18,0,-0.0607407,0,0,0,0,0,0
7,18,0,-0.124167,0,0,0,0,0,0
8,18,0,-0.0606634,0,0,0,0,0,0
9,18,0,-0.028657,0,0,0,0,0,0
10,18,0,-0.0935066,0,0,0,0,0,0
1,19,0,0.365803,0,0,0,0,0,0
2,19,0,0.363278,0,0,0,0,0,0
3,19,0,0.351872,0,0,0,0,0,0
4,19,0,0.275951,0,0,0,0,0,0
5,19,0,0.291171,0,0,0,0,0,0
6,19,0,0.260534,0,0,0,0,0,0
7,19,0,0.291965,0,0,0,0,0,0
8,19,0,0.289136,0,0,0,0,0,0
9,19,0,0.260218,0,0,0,0,0,0
10,19,0,0.350438,0,0,0,0,0,0
1,20,0,-0.374608,0,0,0,0,0,0
2,20,0,-0.377449,0,0,0,0,0,0
3,20,0,-0.355637,0,0,0,0,0,0
4,20,0,-0.378875,0,0,0,0,0,0
5,20,0,-0.341004,0,0,0,0,0,0
6,20,0,-0.331698,0,0,0,0,0,0
7,20,0,-0.330126,0,0,0,0,0,0
8,20,0,-0.374782,0,0,0,0,0,0
9,20,0,-0.369176,0,0,0,0,0,0
10,20,0,-0.347248,0,0,0,0,0,0
1,21,0,0.0567296,0,0,0,0,0,0
2,21,0,0.199357,0,0,0,0,0,0
3,21,0,0.0924651,0,0,0,0,0,0
4,21,0,0.167917,0,0,0,0,0,0
5,21,0,0.0297962,0,0,0,0,0,0
6,21,0,0.107487,0,0,0,0,0,0
7,21,0,0.110863,0,0,0,0,0,0
8,21,0,0.197339,0,0,0,0,0,0
9,21,0,0.087664,0,0,0,0,0,0
10,21,0,0.102262,0,0,0,0,0,0
1,22,0,-0.337707,0,0,0,0,0,0
2,22,0,-0.400085,0,0,0,0,0,0
3,22,0,-0.376895,0,0,0,0,0,0
4,22,0,-0.438197,0,0,0,0,0,0
5,22,0,-0.325743,0,0,0,0,0,0
6,22,0,-0.479401,0,0,0,0,0,0
7,22,0,-0.429404,0,0,0,0,0,0
8,22,0,-0.374989,0,0,0,0,0,0
9,22,0,-0.430084,0,0,0,0,0,0
10,22,0,-0.370552,0,0,0,0,0,0
1,23,0,0.643646,0,0,0,0,0,0
2,23,0,0.591651,0,0,0,0,0,0
3,23,0,0.578295,0,0,0,0,0,0
4,23,0,0.546862,0,0,0,0,0,0
5,23,0,0.565073,0,0,0,0,0,0
6,23,0,0.579474,0,0,0,0,0,0
7,23,0,0.56279,0,0,0,0,0,0
8,23,0,0.574466,0,0,0,0,0,0
9,23,0,0.556567,0,0,0,0,0,0
10,23,0,0.562251,0,0,0,0,0,0
1,24,0,0.0993425,0,0,0,0,0,0
