rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.531729,0,0,0,0,0,0
2,1,0,-0.554847,0,0,0,0,0,0
3,1,0,-0.514413,0,0,0,0,0,0
4,1,0,-0.641056,0,0,0,0,0,0
5,1,0,-0.568025,0,0,0,0,0,0
6,1,0,-0.560021,0,0,0,0,0,0
7,1,0,-0.569577,0,0,0,0,0,0
8,1,0,-0.547942,0,0,0,0,0,0
9,1,0,-0.591123,0,0,0,0,0,0
10,1,0,-0.511209,0,0,0,0,0,0
1,2,0,-0.274948,0,0,0,0,0,0
2,2,0,-0.278918,0,0,0,0,0,0
3,2,0,-0.286106,0,0,0,0,0,0
4,2,0,-0.289006,0,0,0,0,0,0
5,2,0,-0.281983,0,0,0,0,0,0
6,2,0,-0.257654,0,0,0,0,0,0
7,2,0,-0.267452,0,0,0,0,0,0
8,2,0,-0.280379,0,0,0,0,0,0
9,2,0,-0.288264,0,0,0,0,0,0
10,2,0,-0.273762,0,0,0,0,0,0
1,3,0,0.317995,0,0,0,0,0,0
2,3,0,0.325461,0,0,0,0,0,0
3,3,0,0.328003,0,0,0,0,0,0
4,3,0,0.283117,0,0,0,0,0,0
5,3,0,0.341351,0,0,0,0,0,0
6,3,0,0.306244,0,0,0,0,0,0
7,3,0,0.338711,0,0,0,0,0,0
8,3,0,0.350614,0,0,0,0,0,0
9,3,0,0.30881,0,0,0,0,0,0
10,3,0,0.293216,0,0,0,0,0,0
1,4,0,0.0548928,0,0,0,0,0,0
2,4,0,-0.0519228,0,0,0,0,0,0
3,4,0,0.0445973,0,0,0,0,0,0
4,4,0,0.0142024,0,0,0,0,0,0
5,4,0,0.0194451,0,0,0,0,0,0
6,4,0,0.0569565,0,0,0,0,0,0
7,4,0,0.0761902,0,0,0,0,0,0
8,4,0,0.0897697,0,0,0,0,0,0
9,4,0,0.0696465,0,0,0,0,0,0
10,4,0,0.0217469,0,0,0,0,0,0
1,5,0,0.495389,0,0,0,0,0,0
2,5,0,0.528435,0,0,0,0,0,0
3,5,0,0.544006,0,0,0,0,0,0
4,5,0,0.500248,0,0,0,0,0,0
5,5,0,0.504449,0,0,0,0,0,0
6,5,0,0.465094,0,0,0,0,0,0
7,5,0,0.503191,0,0,0,0,0,0
8,5,0,0.511066,0,0,0,0,0,0
9,5,0,0.503969,0,0,0,0,0,0
10,5,0,0.518359,0,0,0,0,0,0
1,6,0,0.397805,0,0,0,0,0,0
2,6,0,0.418388,0,0,0,0,0,0
3,6,0,0.3485,0,0,0,0,0,0
4,6,0,0.379419,0,0,0,0,0,0
5,6,0,0.354774,0,0,0,0,0,0
6,6,0,0.363152,0,0,0,0,0,0
7,6,0,0.427662,0,0,0,0,0,0
8,6,0,0.411012,0,0,0,0,0,0
9,6,0,0.38561,0,0,0,0,0,0
10,6,0,0.385343,0,0,0,0,0,0
1,7,0,0.0390658,0,0,0,0,0,0
2,7,0,0.104655,0,0,0,0,0,0
3,7,0,0.0340991,0,0,0,0,0,0
4,7,0,0.0490275,0,0,0,0,0,0
5,7,0,0.0572061,0,0,0,0,0,0
6,7,0,0.0125442,0,0,0,0,0,0
7,7,0,0.0915758,0,0,0,0,0,0
8,7,0,0.0463848,0,0,0,0,0,0
9,7,0,0.0506218,0,0,0,0,0,0
10,7,0,0.0392701,0,0,0,0,0,0
1,8,0,0.458845,0,0,0,0,0,0
2,8,0,0.360682,0,0,0,0,0,0
3,8,0,0.349482,0,0,0,0,0,0
4,8,0,0.440907,0,0,0,0,0,0
5,8,0,0.440561,0,0,0,0,0,0
6,8,0,0.411964,0,0,0,0,0,0
7,8,0,0.419506,0,0,0,0,0,0
8,8,0,0.360411,0,0,0,0,0,0
9,8,0,0.366875,0,0,0,0,0,0
10,8,0,0.394178,0,0,0,0,0,0
1,9,0,0.205524,0,0,0,0,0,0
2,9,0,0.226302,0,0,0,0,0,0
3,9,0,0.225063,0,0,0,0,0,0
4,9,0,0.205184,0,0,0,0,0,0
5,9,0,0.179924,0,0,0,0,0,0
6,9,0,0.227974,0,0,0,0,0,0
7,9,0,0.261629,0,0,0,0,0,0
8,9,0,0.262963,0,0,0,0,0,0
9,9,0,0.309371,0,0,0,0,0,0
10,9,0,0.159922,0,0,0,0,0,0
1,10,0,0.303658,0,0,0,0,0,0
2,10,0,0.267188,0,0,0,0,0,0
3,10,0,0.280915,0,0,0,0,0,0
4,10,0,0.313736,0,0,0,0,0,0
5,10,0,0.316185,0,0,0,0,0,0
6,10,0,0.314831,0,0,0,0,0,0
7,10,0,0.335689,0,0,0,0,0,0
8,10,0,0.246841,0,0,0,0,0,0
9,10,0,0.30608,0,0,0,0,0,0
10,10,0,0.304744,0,0,0,0,0,0
1,11,0,0.633791,0,0,0,0,0,0
2,11,0,0.634192,0,0,0,0,0,0
3,11,0,0.654145,0,0,0,0,0,0
4,11,0,0.672649,0,0,0,0,0,0
5,11,0,0.66022,0,0,0,0,0,0
6,11,0,0.609475,0,0,0,0,0,0
7,11,0,0.620371,0,0,0,0,0,0
8,11,0,0.613829,0,0,0,0,0,0
9,11,0,0.607148,0,0,0,0,0,0
10,11,0,0.665169,0,0,0,0,0,0
1,12,0,-0.136112,0,0,0,0,0,0
2,12,0,-0.186879,0,0,0,0,0,0
3,12,0,-0.228884,0,0,0,0,0,0
4,12,0,-0.116414,0,0,0,0,0,0
5,12,0,-0.141152,0,0,0,0,0,0
6,12,0,-0.138528,0,0,0,0,0,0
7,12,0,-0.156903,0,0,0,0,0,0
8,12,0,-0.153841,0,0,0,0,0,0
9,12,0,-0.118019,0,0,0,0,0,0
10,12,0,-0.126037,0,0,0,0,0,0
1,13,0,-0.171527,0,0,0,0,0,0
2,13,0,-0.187046,0,0,0,0,0,0
3,13,0,-0.149481,0,0,0,0,0,0
4,13,0,-0.216361,0,0,0,0,0,0
5,13,0,-0.188828,0,0,0,0,0,0
6,13,0,-0.167896,0,0,0,0,0,0
7,13,0,-0.174609,0,0,0,0,0,0
8,13,0,-0.168903,0,0,0,0,0,0
9,13,0,-0.205398,0,0,0,0,0,0
10,13,0,-0.24883,0,0,0,0,0,0
1,14,0,-0.0485977,0,0,0,0,0,0
2,14,0,-0.0691712,0,0,0,0,0,0
3,14,0,-0.119666,0,0,0,0,0,0
4,14,0,-0.0568562,0,0,0,0,0,0
5,14,0,-0.108311,0,0,0,0,0,0
6,14,0,-0.0125537,0,0,0,0,0,0
7,14,0,-0.0234971,0,0,0,0,0,0
8,14,0,-0.0663567,0,0,0,0,0,0
9,14,0,-0.0109685,0,0,0,0,0,0
10,14,0,-0.0646291,0,0,0,0,0,0
1,15,0,-0.0578888,0,0,0,0,0,0
2,15,0,-0.0797359,0,0,0,0,0,0
3,15,0,-0.0705206,0,0,0,0,0,0
4,15,0,-0.0744363,0,0,0,0,0,0
5,15,0,-0.0971502,0,0,0,0,0,0
6,15,0,-0.0326238,0,0,0,0,0,0
7,15,0,0.0182567,0,0,0,0,0,0
8,15,0,-0.105159,0,0,0,0,0,0
9,15,0,-0.0180209,0,0,0,0,0,0
10,15,0,-0.0386748,0,0,0,0,0,0
1,16,0,-0.146386,0,0,0,0,0,0
2,16,0,-0.14957,0,0,0,0,0,0
3,16,0,-0.090534,0,0,0,0,0,0
4,16,0,-0.174147,0,0,0,0,0,0
5,16,0,-0.12844,0,0,0,0,0,0
6,16,0,-0.113648,0,0,0,0,0,0
7,16,0,-0.103554,0,0,0,0,0,0
8,16,0,-0.10124,0,0,0,0,0,0
9,16,0,-0.118743,0,0,0,0,0,0
10,16,0,-0.149673,0,0,0,0,0,0
1,17,0,-0.330733,0,0,0,0,0,0
2,17,0,-0.314581,0,0,0,0,0,0
3,17,0,-0.361211,0,0,0,0,0,0
4,17,0,-0.382446,0,0,0,0,0,0
5,17,0,-0.345379,0,0,0,0,0,0
6,17,0,-0.362858,0,0,0,0,0,0
7,17,0,-0.330415,0,0,0,0,0,0
8,17,0,-0.327705,0,0,0,0,0,0
9,17,0,-0.343644,0,0,0,0,0,0
10,17,0,-0.374808,0,0,0,0,0,0
1,18,0,-0.0191781,0,0,0,0,0,0
2,18,0,-0.118302,0,0,0,0,0,0
3,18,0,-0.104868,0,0,0,0,0,0
4,18,0,-0.0961986,0,0,0,0,0,0
5,18,0,-0.0955292,0,0,0,0,0,0
6,18,0,-0.125621,0,0,0,0,0,0
7,18,0,-0.0983742,0,0,0,0,0,0
8,18,0,-0.104293,0,0,0,0,0,0
9,18,0,-0.0229619,0,0,0,0,0,0
10,18,0,-0.0931584,0,0,0,0,0,0
1,19,0,0.276064,0,0,0,0,0,0
2,19,0,0.272704,0,0,0,0,0,0
3,19,0,0.338788,0,0,0,0,0,0
4,19,0,0.341534,0,0,0,0,0,0
5,19,0,0.346641,0,0,0,0,0,0
6,19,0,0.2769,0,0,0,0,0,0
7,19,0,0.270462,0,0,0,0,0,0
8,19,0,0.274649,0,0,0,0,0,0
9,19,0,0.339737,0,0,0,0,0,0
10,19,0,0.275497,0,0,0,0,0,0
1,20,0,-0.383853,0,0,0,0,0,0
2,20,0,-0.360178,0,0,0,0,0,0
3,20,0,-0.354754,0,0,0,0,0,0
4,20,0,-0.301436,0,0,0,0,0,0
5,20,0,-0.317755,0,0,0,0,0,0
6,20,0,-0.407364,0,0,0,0,0,0
7,20,0,-0.357216,0,0,0,0,0,0
8,20,0,-0.372961,0,0,0,0,0,0
9,20,0,-0.367801,0,0,0,0,0,0
10,20,0,-0.309042,0,0,0,0,0,0
1,21,0,0.0565183,0,0,0,0,0,0
2,21,0,0.148332,0,0,0,0,0,0
3,21,0,0.0743546,0,0,0,0,0,0
4,21,0,0.0455786,0,0,0,0,0,0
5,21,0,0.111699,0,0,0,0,0,0
6,21,0,0.123306,0,0,0,0,0,0
7,21,0,0.164046,0,0,0,0,0,0
8,21,0,0.139678,0,0,0,0,0,0
9,21,0,0.107144,0,0,0,0,0,0
10,21,0,0.0600582,0,0,0,0,0,0
1,22,0,-0.365492,0,0,0,0,0,0
2,22,0,-0.37799,0,0,0,0,0,0
3,22,0,-0.390182,0,0,0,0,0,0
4,22,0,-0.41582,0,0,0,0,0,0
5,22,0,-0.407402,0,0,0,0,0,0
6,22,0,-0.410511,0,0,0,0,0,0
