rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.598621,0,0,0,0,0,0
2,1,0,-0.557677,0,0,0,0,0,0
3,1,0,-0.604136,0,0,0,0,0,0
4,1,0,-0.533798,0,0,0,0,0,0
5,1,0,-0.540378,0,0,0,0,0,0
6,1,0,-0.577616,0,0,0,0,0,0
7,1,0,-0.53832,0,0,0,0,0,0
8,1,0,-0.6407,0,0,0,0,0,0
9,1,0,-0.510289,0,0,0,0,0,0
10,1,0,-0.607485,0,0,0,0,0,0
1,2,0,-0.281066,0,0,0,0,0,0
2,2,0,-0.248252,0,0,0,0,0,0
3,2,0,-0.298637,0,0,0,0,0,0
4,2,0,-0.279551,0,0,0,0,0,0
5,2,0,-0.287553,0,0,0,0,0,0
6,2,0,-0.33335,0,0,0,0,0,0
7,2,0,-0.319807,0,0,0,0,0,0
8,2,0,-0.255587,0,0,0,0,0,0
9,2,0,-0.27637,0,0,0,0,0,0
10,2,0,-0.223003,0,0,0,0,0,0
1,3,0,0.320883,0,0,0,0,0,0
2,3,0,0.31484,0,0,0,0,0,0
3,3,0,0.315272,0,0,0,0,0,0
4,3,0,0.3477,0,0,0,0,0,0
5,3,0,0.305867,0,0,0,0,0,0
6,3,0,0.292223,0,0,0,0,0,0
7,3,0,0.364967,0,0,0,0,0,0
8,3,0,0.368875,0,0,0,0,0,0
9,3,0,0.359258,0,0,0,0,0,0
10,3,0,0.317417,0,0,0,0,0,0
1,4,0,0.0201494,0,0,0,0,0,0
2,4,0,0.0567726,0,0,0,0,0,0
3,4,0,0.0762628,0,0,0,0,0,0
4,4,0,0.0940531,0,0,0,0,0,0
5,4,0,0.0693521,0,0,0,0,0,0
6,4,0,0.0225379,0,0,0,0,0,0
7,4,0,0.0128589,0,0,0,0,0,0
8,4,0,0.0303812,0,0,0,0,0,0
9,4,0,0.0233462,0,0,0,0,0,0
10,4,0,-0.0119238,0,0,0,0,0,0
1,5,0,0.503088,0,0,0,0,0,0
2,5,0,0.464092,0,0,0,0,0,0
3,5,0,0.502272,0,0,0,0,0,0
4,5,0,0.51009,0,0,0,0,0,0
5,5,0,0.503366,0,0,0,0,0,0
6,5,0,0.517461,0,0,0,0,0,0
7,5,0,0.501754,0,0,0,0,0,0
8,5,0,0.51846,0,0,0,0,0,0
9,5,0,0.552963,0,0,0,0,0,0
10,5,0,0.504029,0,0,0,0,0,0
1,6,0,0.356413,0,0,0,0,0,0
2,6,0,0.363509,0,0,0,0,0,0
3,6,0,0.426932,0,0,0,0,0,0
4,6,0,0.410833,0,0,0,0,0,0
5,6,0,0.384638,0,0,0,0,0,0
6,6,0,0.384095,0,0,0,0,0,0
7,6,0,0.373549,0,0,0,0,0,0
8,6,0,0.38988,0,0,0,0,0,0
9,6,0,0.38171,0,0,0,0,0,0
10,6,0,0.410948,0,0,0,0,0,0
1,7,0,0.0556071,0,0,0,0,0,0
2,7,0,-0.000586691,0,0,0,0,0,0
3,7,0,0.107144,0,0,0,0,0,0
4,7,0,0.0467013,0,0,0,0,0,0
5,7,0,0.0501069,0,0,0,0,0,0
6,7,0,0.0304712,0,0,0,0,0,0
7,7,0,0.0845225,0,0,0,0,0,0
8,7,0,0.0863633,0,0,0,0,0,0
9,7,0,0.0512544,0,0,0,0,0,0
10,7,0,0.0249019,0,0,0,0,0,0
1,8,0,0.372913,0,0,0,0,0,0
2,8,0,0.410634,0,0,0,0,0,0
3,8,0,0.421154,0,0,0,0,0,0
4,8,0,0.359247,0,0,0,0,0,0
5,8,0,0.364408,0,0,0,0,0,0
6,8,0,0.393406,0,0,0,0,0,0
7,8,0,0.30031,0,0,0,0,0,0
8,8,0,0.36408,0,0,0,0,0,0
9,8,0,0.372653,0,0,0,0,0,0
10,8,0,0.356485,0,0,0,0,0,0
1,9,0,0.179916,0,0,0,0,0,0
2,9,0,0.226698,0,0,0,0,0,0
3,9,0,0.26078,0,0,0,0,0,0
4,9,0,0.262114,0,0,0,0,0,0
5,9,0,0.309277,0,0,0,0,0,0
6,9,0,0.159228,0,0,0,0,0,0
7,9,0,0.260409,0,0,0,0,0,0
8,9,0,0.285584,0,0,0,0,0,0
9,9,0,0.249888,0,0,0,0,0,0
10,9,0,0.247597,0,0,0,0,0,0
1,10,0,0.314506,0,0,0,0,0,0
2,10,0,0.312925,0,0,0,0,0,0
3,10,0,0.335198,0,0,0,0,0,0
4,10,0,0.245828,0,0,0,0,0,0
5,10,0,0.305092,0,0,0,0,0,0
6,10,0,0.305301,0,0,0,0,0,0
7,10,0,0.350574,0,0,0,0,0,0
8,10,0,0.267171,0,0,0,0,0,0
9,10,0,0.365236,0,0,0,0,0,0
10,10,0,0.335949,0,0,0,0,0,0
1,11,0,0.701711,0,0,0,0,0,0
2,11,0,0.645575,0,0,0,0,0,0
3,11,0,0.617031,0,0,0,0,0,0
4,11,0,0.604507,0,0,0,0,0,0
5,11,0,0.605813,0,0,0,0,0,0
6,11,0,0.655876,0,0,0,0,0,0
7,11,0,0.545406,0,0,0,0,0,0
8,11,0,0.599202,0,0,0,0,0,0
9,11,0,0.594892,0,0,0,0,0,0
10,11,0,0.629153,0,0,0,0,0,0
1,12,0,-0.141206,0,0,0,0,0,0
2,12,0,-0.158781,0,0,0,0,0,0
3,12,0,-0.156479,0,0,0,0,0,0
4,12,0,-0.155235,0,0,0,0,0,0
5,12,0,-0.117489,0,0,0,0,0,0
6,12,0,-0.12563,0,0,0,0,0,0
7,12,0,-0.113021,0,0,0,0,0,0
8,12,0,-0.197488,0,0,0,0,0,0
9,12,0,-0.142301,0,0,0,0,0,0
10,12,0,-0.17042,0,0,0,0,0,0
1,13,0,-0.188218,0,0,0,0,0,0
2,13,0,-0.167457,0,0,0,0,0,0
3,13,0,-0.174042,0,0,0,0,0,0
4,13,0,-0.168197,0,0,0,0,0,0
5,13,0,-0.203779,0,0,0,0,0,0
6,13,0,-0.246956,0,0,0,0,0,0
7,13,0,-0.19618,0,0,0,0,0,0
8,13,0,-0.206296,0,0,0,0,0,0
9,13,0,-0.246057,0,0,0,0,0,0
10,13,0,-0.172096,0,0,0,0,0,0
1,14,0,-0.0958907,0,0,0,0,0,0
2,14,0,-0.0131183,0,0,0,0,0,0
3,14,0,-0.0229879,0,0,0,0,0,0
4,14,0,-0.0655914,0,0,0,0,0,0
5,14,0,-0.0110639,0,0,0,0,0,0
6,14,0,-0.0634592,0,0,0,0,0,0
7,14,0,-0.0615018,0,0,0,0,0,0
8,14,0,-0.087236,0,0,0,0,0,0
9,14,0,-0.0747206,0,0,0,0,0,0
10,14,0,-0.0653742,0,0,0,0,0,0
1,15,0,-0.0966227,0,0,0,0,0,0
2,15,0,-0.0327105,0,0,0,0,0,0
3,15,0,0.0420127,0,0,0,0,0,0
4,15,0,-0.106784,0,0,0,0,0,0
5,15,0,-0.0179521,0,0,0,0,0,0
6,15,0,-0.0394202,0,0,0,0,0,0
7,15,0,-0.15876,0,0,0,0,0,0
8,15,0,-0.111519,0,0,0,0,0,0
9,15,0,-0.0964985,0,0,0,0,0,0
10,15,0,-0.0974275,0,0,0,0,0,0
1,16,0,-0.0877712,0,0,0,0,0,0
2,16,0,-0.112579,0,0,0,0,0,0
3,16,0,-0.128175,0,0,0,0,0,0
4,16,0,-0.171922,0,0,0,0,0,0
5,16,0,-0.169058,0,0,0,0,0,0
6,16,0,-0.133302,0,0,0,0,0,0
7,16,0,-0.0673005,0,0,0,0,0,0
8,16,0,-0.134089,0,0,0,0,0,0
9,16,0,-0.100557,0,0,0,0,0,0
10,16,0,-0.16957,0,0,0,0,0,0
1,17,0,-0.303766,0,0,0,0,0,0
2,17,0,-0.399232,0,0,0,0,0,0
3,17,0,-0.302312,0,0,0,0,0,0
4,17,0,-0.325313,0,0,0,0,0,0
5,17,0,-0.329273,0,0,0,0,0,0
6,17,0,-0.316002,0,0,0,0,0,0
7,17,0,-0.284121,0,0,0,0,0,0
8,17,0,-0.35936,0,0,0,0,0,0
9,17,0,-0.328806,0,0,0,0,0,0
10,17,0,-0.414167,0,0,0,0,0,0
1,18,0,-0.123479,0,0,0,0,0,0
2,18,0,-0.130278,0,0,0,0,0,0
3,18,0,-0.0891612,0,0,0,0,0,0
4,18,0,-0.103844,0,0,0,0,0,0
5,18,0,-0.0857859,0,0,0,0,0,0
6,18,0,-0.0928576,0,0,0,0,0,0
7,18,0,-0.0696237,0,0,0,0,0,0
8,18,0,-0.0640647,0,0,0,0,0,0
9,18,0,-0.109832,0,0,0,0,0,0
10,18,0,-0.0504901,0,0,0,0,0,0
1,19,0,0.26094,0,0,0,0,0,0
2,19,0,0.308571,0,0,0,0,0,0
3,19,0,0.275009,0,0,0,0,0,0
4,19,0,0.276665,0,0,0,0,0,0
5,19,0,0.279583,0,0,0,0,0,0
6,19,0,0.28555,0,0,0,0,0,0
7,19,0,0.262547,0,0,0,0,0,0
8,19,0,0.277692,0,0,0,0,0,0
9,19,0,0.271853,0,0,0,0,0,0
10,19,0,0.260258,0,0,0,0,0,0
1,20,0,-0.332715,0,0,0,0,0,0
2,20,0,-0.345391,0,0,0,0,0,0
3,20,0,-0.290472,0,0,0,0,0,0
4,20,0,-0.309459,0,0,0,0,0,0
5,20,0,-0.346801,0,0,0,0,0,0
6,20,0,-0.345503,0,0,0,0,0,0
7,20,0,-0.393133,0,0,0,0,0,0
8,20,0,-0.352329,0,0,0,0,0,0
9,20,0,-0.355958,0,0,0,0,0,0
10,20,0,-0.301539,0,0,0,0,0,0
1,21,0,0.112238,0,0,0,0,0,0
2,21,0,0.151773,0,0,0,0,0,0
3,21,0,0.172952,0,0,0,0,0,0
4,21,0,0.146514,0,0,0,0,0,0
5,21,0,0.106818,0,0,0,0,0,0
6,21,0,0.135334,0,0,0,0,0,0
7,21,0,0.165737,0,0,0,0,0,0
8,21,0,0.0912146,0,0,0,0,0,0
9,21,0,0.166309,0,0,0,0,0,0
10,21,0,0.0701105,0,0,0,0,0,0
1,22,0,-0.295302,0,0,0,0,0,0
2,22,0,-0.351907,0,0,0,0,0,0
3,22,0,-0.412344,0,0,0,0,0,0
4,22,0,-0.411955,0,0,0,0,0,0
5,22,0,-0.392868,0,0,0,0,0,0
6,22,0,-0.410459,0,0,0,0,0,0
7,22,0,-0.361085,0,0,0,0,0,0
8,22,0,-0.352658,0,0,0,0,0,0
9,22,0,-0.414843,0,0,0,0,0,0
10,22,0,-0.325335,0,0,0,0,0,0
1,23,0,0.551012,0,0,0,0,0,0
2,23,0,0.572024,0,0,0,0,0,0
3,23,0,0.566054,0,0,0,0,0,0
4,23,0,0.552962,0,0,0,0,0,0
5,23,0,0.559384,0,0,0,0,0,0
6,23,0,0.5642,0,0,0,0,0,0
7,23,0,0.562597,0,0,0,0,0,0
8,23,0,0.543436,0,0,0,0,0,0
9,23,0,0.557947,0,0,0,0,0,0
10,23,0,0.596627,0,0,0,0,0,0
1,24,0,0.0816454,0,0,0,0,0,0
2,24,0,0.0723404,0,0,0,0,0,0
3,24,0,0.0730368,0,0,0,0,0,0
4,24,0,0.0811584,0,0,0,0,0,0
5,24,0,0.0793627,0,0,0,0,0,0
6,24,0,0.0984545,0,0,0,0,0,0
7,24,0,0.0388735,0,0,0,0,0,0
8,24,0,0.073014,0,0,0,0,0,0
9,24,0,0.146672,0,0,0,0,0,0
10,24,0,0.0741094,0,0,0,0,0,0
1,25,0,-0.0634482,0,0,0,0,0,0
2,25,0,-0.0569671,0,0,0,0,0,0
3,25,0,-0.0328275,0,0,0,0,0,0
4,25,0,-0.0800057,0,0,0,0,0,0
5,25,0,-0.0582712,0,0,0,0,0,0
6,25,0,-0.0764171,0,0,0,0,0,0
7,25,0,-0.0752525,0,0,0,0,0,0
8,25,0,-0.0688384,0,0,0,0,0,0
9,25,0,-0.0279063,0,0,0,0,0,0
10,25,0,-0.0498809,0,0,0,0,0,0
1,26,0,-0.247478,0,0,0,0,0,0
2,26,0,-0.173451,0,0,0,0,0,0
3,26,0,-0.238915,0,0,0,0,0,0
4,26,0,-0.27364,0,0,0,0,0,0
5,26,0,-0.247229,0,0,0,0,0,0
6,26,0,-0.294976,0,0,0,0,0,0
7,26,0,-0.24698,0,0,0,0,0,0
8,26,0,-0.241693,0,0,0,0,0,0
9,26,0,-0.245435,0,0,0,0,0,0
10,26,0,-0.197679,0,0,0,0,0,0
1,27,0,-0.206686,0,0,0,0,0,0
2,27,0,-0.192083,0,0,0,0,0,0
3,27,0,-0.188614,0,0,0,0,0,0
4,27,0,-0.177151,0,0,0,0,0,0
5,27,0,-0.194208,0,0,0,0,0,0
6,27,0,-0.158221,0,0,0,0,0,0
7,27,0,-0.130749,0,0,0,0,0,0
8,27,0,-0.137768,0,0,0,0,0,0
9,27,0,-0.179777,0,0,0,0,0,0
10,27,0,-0.122683,0,0,0,0,0,0
1,28,0,0.275663,0,0,0,0,0,0
2,28,0,0.324543,0,0,0,0,0,0
3,28,0,0.283551,0,0,0,0,0,0
4,28,0,0.26818,0,0,0,0,0,0
5,28,0,0.292915,0,0,0,0,0,0
6,28,0,0.286946,0,0,0,0,0,0
7,28,0,0.328343,0,0,0,0,0,0
