rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.567352,0,0,0,0,0,0
2,1,0,-0.60313,0,0,0,0,0,0
3,1,0,-0.595038,0,0,0,0,0,0
4,1,0,-0.563159,0,0,0,0,0,0
5,1,0,-0.545645,0,0,0,0,0,0
6,1,0,-0.506488,0,0,0,0,0,0
7,1,0,-0.54282,0,0,0,0,0,0
8,1,0,-0.49217,0,0,0,0,0,0
9,1,0,-0.477801,0,0,0,0,0,0
10,1,0,-0.579503,0,0,0,0,0,0
1,2,0,-0.208708,0,0,0,0,0,0
2,2,0,-0.224571,0,0,0,0,0,0
3,2,0,-0.282088,0,0,0,0,0,0
4,2,0,-0.249035,0,0,0,0,0,0
5,2,0,-0.301185,0,0,0,0,0,0
6,2,0,-0.280346,0,0,0,0,0,0
7,2,0,-0.279581,0,0,0,0,0,0
8,2,0,-0.246937,0,0,0,0,0,0
9,2,0,-0.322216,0,0,0,0,0,0
10,2,0,-0.300263,0,0,0,0,0,0
1,3,0,0.328216,0,0,0,0,0,0
2,3,0,0.284067,0,0,0,0,0,0
3,3,0,0.341608,0,0,0,0,0,0
4,3,0,0.304393,0,0,0,0,0,0
5,3,0,0.341927,0,0,0,0,0,0
6,3,0,0.349635,0,0,0,0,0,0
7,3,0,0.313436,0,0,0,0,0,0
8,3,0,0.293586,0,0,0,0,0,0
9,3,0,0.35585,0,0,0,0,0,0
10,3,0,0.370354,0,0,0,0,0,0
1,4,0,0.0454419,0,0,0,0,0,0
2,4,0,0.0133754,0,0,0,0,0,0
3,4,0,0.0195015,0,0,0,0,0,0
4,4,0,0.0570002,0,0,0,0,0,0
5,4,0,0.0752223,0,0,0,0,0,0
6,4,0,0.0920732,0,0,0,0,0,0
7,4,0,0.0691882,0,0,0,0,0,0
8,4,0,0.0202574,0,0,0,0,0,0
9,4,0,0.0138496,0,0,0,0,0,0
10,4,0,0.030503,0,0,0,0,0,0
1,5,0,0.54664,0,0,0,0,0,0
2,5,0,0.552918,0,0,0,0,0,0
3,5,0,0.506189,0,0,0,0,0,0
4,5,0,0.464625,0,0,0,0,0,0
5,5,0,0.507043,0,0,0,0,0,0
6,5,0,0.511104,0,0,0,0,0,0
7,5,0,0.494098,0,0,0,0,0,0
8,5,0,0.518849,0,0,0,0,0,0
9,5,0,0.503766,0,0,0,0,0,0
10,5,0,0.520538,0,0,0,0,0,0
1,6,0,0.348387,0,0,0,0,0,0
2,6,0,0.377607,0,0,0,0,0,0
3,6,0,0.355994,0,0,0,0,0,0
4,6,0,0.360229,0,0,0,0,0,0
5,6,0,0.426699,0,0,0,0,0,0
6,6,0,0.401824,0,0,0,0,0,0
7,6,0,0.384656,0,0,0,0,0,0
8,6,0,0.385598,0,0,0,0,0,0
9,6,0,0.3753,0,0,0,0,0,0
10,6,0,0.389931,0,0,0,0,0,0
1,7,0,0.0592486,0,0,0,0,0,0
2,7,0,0.0584786,0,0,0,0,0,0
3,7,0,0.0570865,0,0,0,0,0,0
4,7,0,0.0212793,0,0,0,0,0,0
5,7,0,0.0916461,0,0,0,0,0,0
6,7,0,0.0481659,0,0,0,0,0,0
7,7,0,0.0514438,0,0,0,0,0,0
8,7,0,0.0311979,0,0,0,0,0,0
9,7,0,0.0845807,0,0,0,0,0,0
10,7,0,0.0877577,0,0,0,0,0,0
1,8,0,0.34911,0,0,0,0,0,0
2,8,0,0.440601,0,0,0,0,0,0
3,8,0,0.44137,0,0,0,0,0,0
4,8,0,0.41228,0,0,0,0,0,0
5,8,0,0.420883,0,0,0,0,0,0
6,8,0,0.360687,0,0,0,0,0,0
7,8,0,0.3689,0,0,0,0,0,0
8,8,0,0.393007,0,0,0,0,0,0
9,8,0,0.303269,0,0,0,0,0,0
10,8,0,0.365816,0,0,0,0,0,0
1,9,0,0.233268,0,0,0,0,0,0
2,9,0,0.205384,0,0,0,0,0,0
3,9,0,0.292222,0,0,0,0,0,0
4,9,0,0.228927,0,0,0,0,0,0
5,9,0,0.261842,0,0,0,0,0,0
6,9,0,0.263165,0,0,0,0,0,0
7,9,0,0.229008,0,0,0,0,0,0
8,9,0,0.160438,0,0,0,0,0,0
9,9,0,0.261636,0,0,0,0,0,0
10,9,0,0.257533,0,0,0,0,0,0
1,10,0,0.268911,0,0,0,0,0,0
2,10,0,0.314954,0,0,0,0,0,0
3,10,0,0.316352,0,0,0,0,0,0
4,10,0,0.314404,0,0,0,0,0,0
5,10,0,0.335554,0,0,0,0,0,0
6,10,0,0.247724,0,0,0,0,0,0
7,10,0,0.306315,0,0,0,0,0,0
8,10,0,0.303525,0,0,0,0,0,0
9,10,0,0.351972,0,0,0,0,0,0
10,10,0,0.26843,0,0,0,0,0,0
1,11,0,0.654934,0,0,0,0,0,0
2,11,0,0.702448,0,0,0,0,0,0
3,11,0,0.659185,0,0,0,0,0,0
4,11,0,0.650571,0,0,0,0,0,0
5,11,0,0.621935,0,0,0,0,0,0
6,11,0,0.620465,0,0,0,0,0,0
7,11,0,0.606962,0,0,0,0,0,0
8,11,0,0.643046,0,0,0,0,0,0
9,11,0,0.547589,0,0,0,0,0,0
10,11,0,0.598877,0,0,0,0,0,0
1,12,0,-0.228373,0,0,0,0,0,0
2,12,0,-0.129613,0,0,0,0,0,0
3,12,0,-0.140576,0,0,0,0,0,0
4,12,0,-0.158444,0,0,0,0,0,0
5,12,0,-0.157829,0,0,0,0,0,0
6,12,0,-0.177998,0,0,0,0,0,0
7,12,0,-0.118922,0,0,0,0,0,0
8,12,0,-0.126133,0,0,0,0,0,0
9,12,0,-0.113474,0,0,0,0,0,0
10,12,0,-0.198459,0,0,0,0,0,0
1,13,0,-0.149596,0,0,0,0,0,0
2,13,0,-0.216414,0,0,0,0,0,0
3,13,0,-0.188973,0,0,0,0,0,0
4,13,0,-0.167098,0,0,0,0,0,0
5,13,0,-0.175547,0,0,0,0,0,0
6,13,0,-0.168637,0,0,0,0,0,0
7,13,0,-0.206479,0,0,0,0,0,0
8,13,0,-0.24932,0,0,0,0,0,0
9,13,0,-0.197007,0,0,0,0,0,0
10,13,0,-0.204475,0,0,0,0,0,0
1,14,0,-0.119757,0,0,0,0,0,0
2,14,0,-0.0568998,0,0,0,0,0,0
3,14,0,-0.101356,0,0,0,0,0,0
4,14,0,-0.0118604,0,0,0,0,0,0
5,14,0,-0.0249107,0,0,0,0,0,0
6,14,0,-0.0650806,0,0,0,0,0,0
7,14,0,-0.0124688,0,0,0,0,0,0
8,14,0,-0.0665286,0,0,0,0,0,0
9,14,0,-0.0611823,0,0,0,0,0,0
10,14,0,-0.0876796,0,0,0,0,0,0
1,15,0,-0.0711282,0,0,0,0,0,0
2,15,0,-0.040437,0,0,0,0,0,0
3,15,0,-0.0972,0,0,0,0,0,0
4,15,0,-0.0333208,0,0,0,0,0,0
5,15,0,0.0137833,0,0,0,0,0,0
6,15,0,-0.106718,0,0,0,0,0,0
7,15,0,-0.0936152,0,0,0,0,0,0
8,15,0,-0.0372879,0,0,0,0,0,0
9,15,0,-0.158427,0,0,0,0,0,0
10,15,0,-0.112265,0,0,0,0,0,0
1,16,0,-0.119025,0,0,0,0,0,0
2,16,0,-0.133754,0,0,0,0,0,0
3,16,0,-0.0937437,0,0,0,0,0,0
4,16,0,-0.134889,0,0,0,0,0,0
5,16,0,-0.108307,0,0,0,0,0,0
6,16,0,-0.162725,0,0,0,0,0,0
7,16,0,-0.118834,0,0,0,0,0,0
8,16,0,-0.125843,0,0,0,0,0,0
9,16,0,-0.0921372,0,0,0,0,0,0
10,16,0,-0.162454,0,0,0,0,0,0
1,17,0,-0.318446,0,0,0,0,0,0
2,17,0,-0.304129,0,0,0,0,0,0
3,17,0,-0.304891,0,0,0,0,0,0
4,17,0,-0.330916,0,0,0,0,0,0
5,17,0,-0.319824,0,0,0,0,0,0
6,17,0,-0.336194,0,0,0,0,0,0
7,17,0,-0.373093,0,0,0,0,0,0
8,17,0,-0.358613,0,0,0,0,0,0
9,17,0,-0.367117,0,0,0,0,0,0
10,17,0,-0.351561,0,0,0,0,0,0
1,18,0,-0.104949,0,0,0,0,0,0
2,18,0,-0.107405,0,0,0,0,0,0
3,18,0,-0.14243,0,0,0,0,0,0
4,18,0,-0.139008,0,0,0,0,0,0
5,18,0,-0.123191,0,0,0,0,0,0
6,18,0,-0.104378,0,0,0,0,0,0
7,18,0,-0.0928605,0,0,0,0,0,0
8,18,0,-0.0932298,0,0,0,0,0,0
9,18,0,-0.0699029,0,0,0,0,0,0
10,18,0,-0.100524,0,0,0,0,0,0
1,19,0,0.336014,0,0,0,0,0,0
2,19,0,0.316351,0,0,0,0,0,0
3,19,0,0.319914,0,0,0,0,0,0
4,19,0,0.309808,0,0,0,0,0,0
5,19,0,0.320714,0,0,0,0,0,0
6,19,0,0.292199,0,0,0,0,0,0
7,19,0,0.329044,0,0,0,0,0,0
8,19,0,0.325351,0,0,0,0,0,0
9,19,0,0.325845,0,0,0,0,0,0
10,19,0,0.342111,0,0,0,0,0,0
1,20,0,-0.361562,0,0,0,0,0,0
2,20,0,-0.350573,0,0,0,0,0,0
3,20,0,-0.349664,0,0,0,0,0,0
4,20,0,-0.3398,0,0,0,0,0,0
5,20,0,-0.356246,0,0,0,0,0,0
6,20,0,-0.375288,0,0,0,0,0,0
7,20,0,-0.338801,0,0,0,0,0,0
8,20,0,-0.301285,0,0,0,0,0,0
9,20,0,-0.322965,0,0,0,0,0,0
10,20,0,-0.325854,0,0,0,0,0,0
1,21,0,0.0553946,0,0,0,0,0,0
2,21,0,0.116138,0,0,0,0,0,0
3,21,0,0.0364368,0,0,0,0,0,0
4,21,0,0.123401,0,0,0,0,0,0
5,21,0,0.0992181,0,0,0,0,0,0
6,21,0,0.140102,0,0,0,0,0,0
7,21,0,0.107453,0,0,0,0,0,0
8,21,0,0.0180952,0,0,0,0,0,0
9,21,0,0.13766,0,0,0,0,0,0
10,21,0,0.12175,0,0,0,0,0,0
1,22,0,-0.384396,0,0,0,0,0,0
2,22,0,-0.41089,0,0,0,0,0,0
3,22,0,-0.337313,0,0,0,0,0,0
4,22,0,-0.376347,0,0,0,0,0,0
5,22,0,-0.447821,0,0,0,0,0,0
6,22,0,-0.376347,0,0,0,0,0,0
7,22,0,-0.362264,0,0,0,0,0,0
8,22,0,-0.323717,0,0,0,0,0,0
9,22,0,-0.448007,0,0,0,0,0,0
10,22,0,-0.411185,0,0,0,0,0,0
1,23,0,0.533586,0,0,0,0,0,0
2,23,0,0.54347,0,0,0,0,0,0
3,23,0,0.510213,0,0,0,0,0,0
4,23,0,0.576158,0,0,0,0,0,0
5,23,0,0.590867,0,0,0,0,0,0
6,23,0,0.569216,0,0,0,0,0,0
7,23,0,0.554283,0,0,0,0,0,0
8,23,0,0.550511,0,0,0,0,0,0
9,23,0,0.591074,0,0,0,0,0,0
10,23,0,0.571473,0,0,0,0,0,0
1,24,0,0.101042,0,0,0,0,0,0
2,24,0,0.10197,0,0,0,0,0,0
3,24,0,0.101423,0,0,0,0,0,0
4,24,0,0.0432541,0,0,0,0,0,0
5,24,0,0.0707811,0,0,0,0,0,0
6,24,0,0.0685703,0,0,0,0,0,0
7,24,0,0.076317,0,0,0,0,0,0
8,24,0,0.0992689,0,0,0,0,0,0
9,24,0,0.0634651,0,0,0,0,0,0
10,24,0,0.0680104,0,0,0,0,0,0
1,25,0,-0.0718755,0,0,0,0,0,0
2,25,0,-0.164481,0,0,0,0,0,0
3,25,0,-0.0718755,0,0,0,0,0,0
4,25,0,-0.0859814,0,0,0,0,0,0
5,25,0,-0.0864144,0,0,0,0,0,0
6,25,0,-0.0859814,0,0,0,0,0,0
7,25,0,-0.067484,0,0,0,0,0,0
8,25,0,-0.108598,0,0,0,0,0,0
9,25,0,-0.00120682,0,0,0,0,0,0
10,25,0,-0.0873616,0,0,0,0,0,0
1,26,0,-0.190381,0,0,0,0,0,0
2,26,0,-0.289397,0,0,0,0,0,0
3,26,0,-0.265242,0,0,0,0,0,0
4,26,0,-0.261911,0,0,0,0,0,0
5,26,0,-0.217399,0,0,0,0,0,0
6,26,0,-0.261911,0,0,0,0,0,0
7,26,0,-0.205953,0,0,0,0,0,0
8,26,0,-0.22903,0,0,0,0,0,0
9,26,0,-0.243076,0,0,0,0,0,0
10,26,0,-0.230244,0,0,0,0,0,0
1,27,0,-0.174632,0,0,0,0,0,0
2,27,0,-0.158336,0,0,0,0,0,0
3,27,0,-0.149139,0,0,0,0,0,0
4,27,0,-0.192758,0,0,0,0,0,0
5,27,0,-0.146079,0,0,0,0,0,0
6,27,0,-0.176153,0,0,0,0,0,0
7,27,0,-0.193667,0,0,0,0,0,0
8,27,0,-0.137412,0,0,0,0,0,0
9,27,0,-0.130967,0,0,0,0,0,0
10,27,0,-0.157935,0,0,0,0,0,0
1,28,0,0.299393,0,0,0,0,0,0
2,28,0,0.332151,0,0,0,0,0,0
3,28,0,0.311488,0,0,0,0,0,0
4,28,0,0.326398,0,0,0,0,0,0
5,28,0,0.308189,0,0,0,0,0,0
6,28,0,0.308287,0,0,0,0,0,0
7,28,0,0.305508,0,0,0,0,0,0
8,28,0,0.370632,0,0,0,0,0,0
9,28,0,0.326822,0,0,0,0,0,0
10,28,0,0.307066,0,0,0,0,0,0
1,29,0,-0.0925012,0,0,0,0,0,0
2,29,0,-0.134025,0,0,0,0,0,0
3,29,0,-0.101632,0,0,0,0,0,0
4,29,0,-0.0716001,0,0,0,0,0,0
5,29,0,-0.111858,0,0,0,0,0,0
6,29,0,-0.0766067,0,0,0,0,0,0
7,29,0,-0.10113,0,0,0,0,0,0
8,29,0,-0.0948751,0,0,0,0,0,0
9,29,0,-0.0925382,0,0,0,0,0,0
10,29,0,-0.0895448,0,0,0,0,0,0
1,30,0,0.437958,0,0,0,0,0,0
2,30,0,0.472057,0,0,0,0,0,0
3,30,0,0.450608,0,0,0,0,0,0
4,30,0,0.451213,0,0,0,0,0,0
5,30,0,0.487213,0,0,0,0,0,0
6,30,0,0.515279,0,0,0,0,0,0
7,30,0,0.469762,0,0,0,0,0,0
8,30,0,0.402715,0,0,0,0,0,0
9,30,0,0.405098,0,0,0,0,0,0
10,30,0,0.493927,0,0,0,0,0,0
1,31,0,0.219912,0,0,0,0,0,0
2,31,0,0.146804,0,0,0,0,0,0
3,31,0,0.0730055,0,0,0,0,0,0
4,31,0,0.113732,0,0,0,0,0,0
5,31,0,0.180329,0,0,0,0,0,0
6,31,0,0.141615,0,0,0,0,0,0
7,31,0,0.173948,0,0,0,0,0,0
8,31,0,0.150855,0,0,0,0,0,0
9,31,0,0.141669,0,0,0,0,0,0
10,31,0,0.166719,0,0,0,0,0,0
1,32,0,-0.716731,0,0,0,0,0,0
2,32,0,-0.765061,0,0,0,0,0,0
3,32,0,-0.805368,0,0,0,0,0,0
4,32,0,-0.772866,0,0,0,0,0,0
5,32,0,-0.75694,0,0,0,0,0,0
6,32,0,-0.828435,0,0,0,0,0,0
7,32,0,-0.764267,0,0,0,0,0,0
8,32,0,-0.757625,0,0,0,0,0,0
9,32,0,-0.7625,0,0,0,0,0,0
10,32,0,-0.765571,0,0,0,0,0,0
1,33,0,0.103752,0,0,0,0,0,0
2,33,0,0.1248,0,0,0,0,0,0
