rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00305748,-0.572211,0,0.013772,0.00719153,-0.000797481,0.00430026,0.000133893
2,1,-0.00190521,-0.49816,0,-0.00284352,0.0135063,0.00127182,0.0115973,-0.00082228
3,1,-0.000183262,-0.553317,0,0.014419,-0.00145226,0.000147106,0.00704339,-0.00106391
4,1,-0.00505986,-0.554148,0,0.0112445,0.00305754,0.00159964,0.00950336,-0.00292814
5,1,-0.0071275,-0.576819,0,0.0171927,-0.0081579,0.00156272,-0.00427274,0.000201482
6,1,-0.0061172,-0.550245,0,0.00281634,0.0154492,0.000363256,-0.0021073,-0.00014046
7,1,-0.00946577,-0.541719,0,-0.00370706,-0.00227905,-0.00390147,0.000638766,-0.00108897
8,1,0.00264448,-0.559197,0,-0.00768746,0.00881037,0.00161732,0.00767947,0.00145004
9,1,-0.00319141,-0.589876,0,-0.000270441,0.0121489,0.00249259,0.000714675,-0.000832658
10,1,0.000118773,-0.549527,0,0.00794989,0.00292019,-0.00205274,-0.0147671,-0.000265467
1,2,-6.83227e-05,-0.268091,0,-0.000167851,0.0148291,0.000365998,-0.0111635,-0.0020089
2,2,-0.00112871,-0.308323,0,0.00592838,0.0054047,-0.00145549,-0.00680991,0.000879345
3,2,-0.0018817,-0.252831,0,0.0194434,-0.0103903,0.00225226,-0.00347284,0.00142033
4,2,-0.00218552,-0.294933,0,-0.00540828,-0.0158342,9.21734e-05,-0.0130917,-0.0011074
5,2,0.00194509,-0.181921,0,0.00438497,-0.00740807,-0.000797237,0.00842499,0.000190154
6,2,-0.00298638,-0.320901,0,0.000793388,-0.00619777,8.77955e-05,-0.0090164,0.00185759
7,2,-0.00155851,-0.257601,0,0.00367044,0.000731312,-0.001267,-0.00642473,0.000679101
8,2,0.00133848,-0.198426,0,0.0142111,0.00438782,0.00248005,-0.00619313,4.30617e-06
9,2,0.000166039,-0.28638,0,0.0107453,-0.0119213,-0.000257034,-0.00530398,-0.000868224
10,2,-0.00307365,-0.216926,0,-0.00455454,-0.0104062,-0.00265569,-0.0045143,0.000258131
1,3,-0.00375828,0.326891,0,0.00519284,-0.0153434,0.00135554,-0.0122853,0.000852538
2,3,-0.00136833,0.359049,0,0.0171111,0.00294192,0.000212772,-0.0100249,0.000439467
3,3,0.00108619,0.418241,0,0.00185468,-0.0169725,-0.00260799,0.00168487,-0.000528724
4,3,-0.00293675,0.308649,0,0.0123114,-0.00796517,-0.00395335,0.00355832,-0.00133999
5,3,0.00273895,0.300985,0,0.0038314,0.0159461,-0.000588342,0.00993858,0.00061039
6,3,0.00562087,0.316245,0,0.00333558,-0.0167713,-0.00163836,-0.00551531,-0.00130531
7,3,0.00492987,0.302045,0,4.79563e-05,0.0141712,-0.000861003,0.0052033,0.00265146
8,3,0.00121148,0.315832,0,-0.00693301,-0.0151811,-0.00176958,0.000160475,-0.000191587
9,3,0.00333964,0.36063,0,0.0207617,-0.0185281,0.000902281,-0.00986723,-0.000464096
10,3,0.0029015,0.40025,0,-0.0035905,0.00404685,0.00322115,0.0012365,0.000106848
1,4,0.00651113,0.0889921,0,0.00638618,-0.00628595,-0.000902975,0.0121527,-0.000201346
2,4,0.00457764,0.0604145,0,0.0163505,-0.000455731,0.00263292,-0.00868638,-0.000863684
3,4,-0.00226238,0.0172633,0,0.0064804,0.000495681,0.00247841,0.000737162,-0.000692166
4,4,-0.00476513,-0.000145575,0,-0.0238452,-0.00687509,0.00110344,-0.00384308,-0.00108017
5,4,-0.00226643,0.0226076,0,-0.0106007,0.0173408,5.5044e-05,-0.000400514,0.00119856
6,4,0.0015539,0.0103061,0,0.0190351,-0.000128049,-0.000804471,0.0123957,5.21622e-05
7,4,-0.00477733,-0.0345319,0,-0.000989899,-0.00656594,0.00171981,-0.00281725,0.00109298
8,4,-0.00300309,0.0114533,0,-0.00321853,0.0127415,0.000609986,0.00134717,-0.000169862
9,4,-0.000145269,0.0414934,0,-0.00717366,0.0007939,-0.0022657,0.00128442,0.00055269
10,4,-0.00178653,0.033206,0,-0.0084915,0.0119835,-0.00113889,-0.0110145,-0.00315383
1,5,0.00326316,0.559185,0,0.00649703,-0.00100198,-9.0214e-05,0.010658,0.000717773
2,5,-0.0046207,0.503576,0,-0.00087938,-0.000284396,0.000275821,-0.00707425,0.000381142
3,5,-0.00479881,0.479605,0,0.00244922,-0.00941592,0.000831728,-0.00184408,-0.00157733
4,5,-0.00216926,0.552536,0,0.00085565,-0.000615807,-0.0035049,-0.00119217,0.00185499
5,5,-0.00142942,0.526175,0,0.000143716,0.0138152,-0.00010394,-0.00554373,0.000578636
6,5,-0.00360806,0.553656,0,-0.00915097,0.00981327,0.00265867,0.0054093,-0.00117943
7,5,-0.00586892,0.55898,0,-0.00680307,-0.00421586,0.00229447,-0.000416993,-0.00104619
8,5,-0.00522507,0.472331,0,-0.021828,0.00765251,0.00492201,0.000642102,-0.00181981
9,5,-0.00135688,0.501962,0,0.000772599,0.0182694,-0.00126035,-6.73685e-05,0.00180552
10,5,-0.00366544,0.473645,0,-0.0264423,-0.00516224,-0.000369513,0.00100948,0.000604455
1,6,0.000986624,0.376925,0,0.00016045,-0.0186932,0.000992184,-0.0214626,-0.000572745
2,6,-0.00244592,0.339884,0,-0.0257524,-0.00489572,-0.000118213,0.00110767,0.000394886
3,6,-0.00108106,0.449252,0,-0.00340971,-0.00326722,0.000152171,-0.00631037,-0.0012211
4,6,-0.00548174,0.396954,0,-0.013526,-0.00257667,0.00044973,-0.0118094,0.00196817
5,6,-0.000205135,0.35568,0,-0.00955323,-0.012123,-0.00062815,-0.00379969,-0.000498198
6,6,-0.00195353,0.343476,0,0.00407063,0.000582336,-0.00330571,-0.00863757,0.00142759
7,6,0.00362025,0.370011,0,-0.00548582,-0.016045,-0.000962316,-0.0022102,0.000128221
8,6,-0.00319124,0.396367,0,-0.00524316,-0.02102,0.000270763,-0.00451102,-0.000972238
9,6,-0.00546462,0.338578,0,0.0092064,0.00288732,-0.000588888,-0.00843662,-0.00165028
10,6,0.0095381,0.397873,0,0.00689889,-0.00700078,-0.00426987,-0.0030328,-0.00207933
1,7,0.00219508,0.0115304,0,0.00928502,0.011509,-0.00291652,-0.00961856,5.44157e-05
2,7,-0.000638415,0.109462,0,-0.00275903,-0.0223211,-0.00219916,0.0111517,-0.00156196
3,7,-0.00398093,0.0413379,0,-0.00642959,-0.0100377,0.00275874,0.00229667,0.000471737
4,7,0.00411724,0.0838823,0,-0.0128565,-0.000606557,-0.000247281,0.00228893,0.000325011
5,7,0.0063459,0.0960466,0,0.00152863,0.0166129,-0.00108116,0.00271033,0.000665934
6,7,-0.00589089,0.0166088,0,0.00817422,-0.017204,-0.00135545,-0.00547813,0.00255213
7,7,0.00769308,0.086918,0,-0.00628339,-0.0149136,-0.000836403,-0.00798961,0.000900075
8,7,0.00340426,0.0397437,0,-0.00379377,0.0016736,0.00128571,-0.01486,5.07279e-05
9,7,0.00541814,0.0717242,0,0.0201735,0.00734448,0.00054755,-0.0128564,-0.000217795
10,7,0.00492708,0.0688779,0,0.00238676,-0.0144778,-0.00322447,0.00252269,0.000525393
1,8,-0.000616008,0.363245,0,-0.00151311,0.00957338,0.00120674,-0.00116124,0.000816366
2,8,0.00561735,0.398799,0,-0.0146226,-0.0172152,-0.00181709,0.000886634,0.000649323
3,8,-0.00240414,0.357747,0,0.00560768,-0.014082,0.00198492,-0.013064,0.00109864
