rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0,-0.620721,0,0.0033923,-0.00902513,0,0,0.00236214
2,1,0,-0.573776,0,-0.0133702,0.0170005,0,0,0.00149801
3,1,0,-0.578816,0,0.0159239,-0.0100914,0,0,0.00232112
4,1,0,-0.538202,0,0.0122145,-0.000171911,0,0,-0.000267222
5,1,0,-0.64463,0,0.00763941,0.0186829,0,0,0.000372019
6,1,0,-0.575589,0,-0.005023,0.0150482,0,0,-0.00181536
7,1,0,-0.515285,0,-0.00853658,-0.00136719,0,0,-0.000589069
8,1,0,-0.582437,0,0.0069416,-0.000560332,0,0,-0.00182425
9,1,0,-0.58619,0,-0.00678578,0.00351812,0,0,-0.000778704
10,1,0,-0.543384,0,0.00719758,0.00448439,0,0,-0.00120494
1,2,0,-0.395911,0,-0.00446968,-0.00164667,0,0,0.000241069
2,2,0,-0.20767,0,-0.00128724,0.00276119,0,0,-0.000919455
3,2,0,-0.34825,0,-0.00374612,-0.00157926,0,0,0.00121958
4,2,0,-0.363049,0,-0.00862929,0.00509931,0,0,-0.00107823
5,2,0,-0.31601,0,0.00300296,0.0195114,0,0,0.00171181
6,2,0,-0.330713,0,-0.0073302,0.00765592,0,0,-0.000274567
7,2,0,-0.300011,0,-0.0119101,-0.00109194,0,0,0.00032358
8,2,0,-0.260474,0,0.0044581,0.00143046,0,0,0.0010206
9,2,0,-0.220594,0,0.000618188,0.00769397,0,0,0.00125927
10,2,0,-0.235397,0,0.0283449,-0.00148782,0,0,0.000629479
1,3,0,0.327458,0,0.00560284,0.0124086,0,0,0.000861743
2,3,0,0.30154,0,0.0192524,-0.00970427,0,0,-6.36816e-05
3,3,0,0.355376,0,-0.00746956,0.00327478,0,0,0.00219471
4,3,0,0.436023,0,0.0251231,-0.00308969,0,0,0.000518324
5,3,0,0.30153,0,-0.0193346,-0.0212838,0,0,-0.000208642
6,3,0,0.373283,0,0.0173032,-0.00757027,0,0,-0.000988148
7,3,0,0.346937,0,0.0217109,0.0158646,0,0,-0.000351492
8,3,0,0.302857,0,0.00913357,-0.00781963,0,0,0.00135685
9,3,0,0.327826,0,0.00340877,-0.00598559,0,0,0.000857492
