rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0.0026732,-0.583768,0,0,0.0157237,0,0,-0.000710936
2,1,-0.00356489,-0.556011,0,0,-0.00304581,0,0,0.000461609
3,1,-3.7607e-05,-0.562588,0,0,-0.00958435,0,0,0.00193364
4,1,-0.000780849,-0.524974,0,0,0.0107334,0,0,-0.00216808
5,1,-0.000295312,-0.602883,0,0,0.00858478,0,0,0.000376234
6,1,0.00652129,-0.574074,0,0,-0.0121479,0,0,0.00181333
7,1,-0.00255423,-0.530586,0,0,0.00126433,0,0,0.00257309
8,1,-0.00139575,-0.554368,0,0,0.00904737,0,0,0.000264808
9,1,-0.00321182,-0.611846,0,0,-0.00338392,0,0,-0.00214738
10,1,-0.000633335,-0.53581,0,0,0.0152355,0,0,-0.00106437
1,2,0.0013267,-0.226494,0,0,0.00745241,0,0,-0.00035526
2,2,-0.00401729,-0.344822,0,0,0.00605371,0,0,0.000151074
3,2,0.00308271,-0.221468,0,0,0.0042051,0,0,0.00225338
4,2,-0.00278888,-0.24891,0,0,0.0135949,0,0,0.000589951
5,2,0.00221007,-0.284678,0,0,-0.00905942,0,0,0.00215027
6,2,-0.00581126,-0.353737,0,0,-0.00560295,0,0,0.000441496
7,2,-0.00808698,-0.336413,0,0,-0.00168589,0,0,0.000173456
8,2,0.000195689,-0.326808,0,0,0.0137511,0,0,-0.000379895
9,2,-0.0064359,-0.214935,0,0,0.00332369,0,0,0.00258762
10,2,-0.0077501,-0.203704,0,0,0.0082646,0,0,-0.00145034
1,3,2.14649e-05,0.399009,0,0,0.00442536,0,0,0.00293233
2,3,-0.000997309,0.330122,0,0,-0.0139598,0,0,0.000765711
3,3,0.00518584,0.317356,0,0,-0.00912464,0,0,-0.00182151
4,3,-0.00226315,0.327568,0,0,0.0123321,0,0,0.00111655
5,3,-0.0011429,0.312424,0,0,0.00416595,0,0,0.00105292
6,3,0.00830344,0.383138,0,0,0.00532619,0,0,0.001612
7,3,-0.00294006,0.284536,0,0,0.0023362,0,0,0.00145434
8,3,-0.0057022,0.305078,0,0,-0.012913,0,0,0.00226654
9,3,0.00251148,0.360706,0,0,-0.00525863,0,0,0.00269469
10,3,0.00129713,0.248121,0,0,-0.00295509,0,0,0.000961306
1,4,0.00368708,0.0404254,0,0,0.00697262,0,0,0.00177349
2,4,0.00310559,0.0205253,0,0,0.00856139,0,0,0.000958894
3,4,-0.000511833,-0.0198612,0,0,0.00589121,0,0,-0.000188339
4,4,0.00066393,0.0261729,0,0,-0.0113973,0,0,-0.000847678
5,4,-0.0122597,0.0456144,0,0,-0.015568,0,0,0.00118393
6,4,0.00260615,0.00371072,0,0,0.00160461,0,0,0.00114492
7,4,0.00287895,0.070533,0,0,0.00789158,0,0,-0.00259894
8,4,0.00367315,0.0207252,0,0,0.00417843,0,0,-0.00104992
9,4,0.00467298,-0.00925262,0,0,0.0088911,0,0,-0.00278797
10,4,0.00364031,-0.0011215,0,0,0.00954853,0,0,0.000689311
1,5,-0.00856654,0.405045,0,0,0.0149707,0,0,0.00198216
2,5,-0.00734668,0.518422,0,0,0.005218,0,0,0.0022058
3,5,-0.0090213,0.482991,0,0,0.0015489,0,0,-0.000352614
4,5,0.00660286,0.540222,0,0,-0.0045485,0,0,-6.70573e-05
5,5,0.00304165,0.481612,0,0,0.0097665,0,0,0.00210172
6,5,0.0040579,0.508904,0,0,0.00111451,0,0,-0.00299768
7,5,0.00472822,0.512123,0,0,0.0156162,0,0,-0.00305882
8,5,-0.00207378,0.531114,0,0,0.00242218,0,0,-0.00107588
9,5,-0.0050755,0.545253,0,0,0.00967626,0,0,0.00339357
10,5,-0.000691878,0.498371,0,0,-0.00171351,0,0,-0.00237545
1,6,-6.96003e-05,0.459634,0,0,-0.014054,0,0,0.000928002
2,6,0.0100275,0.421297,0,0,-0.00789449,0,0,-0.000673208
3,6,-0.00304936,0.383671,0,0,0.0101594,0,0,0.00249671
4,6,-0.00656564,0.342465,0,0,0.00773347,0,0,-0.000684731
5,6,0.00270263,0.369417,0,0,0.00694667,0,0,-0.00151292
6,6,0.00182485,0.409441,0,0,-0.000640548,0,0,0.00308585
7,6,-0.00941673,0.344586,0,0,0.0154479,0,0,-0.000123686
8,6,0.00423838,0.445313,0,0,-0.012198,0,0,-7.06751e-05
9,6,0.0121105,0.447668,0,0,-0.00434945,0,0,0.000477939
10,6,0.00534997,0.385257,0,0,0.000655126,0,0,0.0014166
1,7,0.00243903,0.0854241,0,0,0.0121953,0,0,-0.00144288
2,7,0.00443704,-0.00821733,0,0,0.00578798,0,0,-0.000686575
3,7,0.0037283,0.0467659,0,0,0.0109799,0,0,0.00154911
4,7,0.00271268,0.0624017,0,0,0.00930211,0,0,0.00250865
5,7,-0.000674908,0.100611,0,0,0.016809,0,0,0.00103797
6,7,-0.00448589,-0.00761686,0,0,-0.00171019,0,0,-0.000389005
7,7,0.00586908,0.0580886,0,0,0.00905611,0,0,0.000618281
8,7,0.00258014,0.173369,0,0,-0.00205626,0,0,-0.0015913
9,7,-0.000432186,0.00493998,0,0,-0.00345351,0,0,-0.000547406
10,7,0.00127948,0.0372311,0,0,0.00545455,0,0,0.00026197
1,8,0.00147866,0.391177,0,0,0.00470633,0,0,7.01114e-05
2,8,0.00475124,0.319653,0,0,0.00361786,0,0,-3.20818e-05
3,8,0.00610253,0.374527,0,0,-0.00340863,0,0,-0.000178522
4,8,-0.00047021,0.420758,0,0,0.0113123,0,0,0.00136613
5,8,-0.000740501,0.374458,0,0,-0.00805969,0,0,-0.00207551
6,8,-0.00114764,0.280057,0,0,0.0172217,0,0,0.00100102
7,8,-0.00495483,0.363277,0,0,-0.00627547,0,0,-0.00550458
8,8,-0.00141563,0.410925,0,0,0.00866701,0,0,-0.00290803
9,8,-0.00126751,0.384247,0,0,0.00329078,0,0,0.0024232
10,8,0.00163777,0.426193,0,0,0.00190119,0,0,0.00225725
1,9,0.00139256,0.248301,0,0,-0.00492102,0,0,3.01597e-05
2,9,0.00165408,0.21872,0,0,0.000454598,0,0,-0.00103735
3,9,-0.00309651,0.281332,0,0,0.00607916,0,0,-0.00136195
4,9,0.0026938,0.221479,0,0,0.000543132,0,0,-0.000160401
5,9,0.00262633,0.306139,0,0,-0.0175654,0,0,-0.00173439
6,9,-2.35273e-05,0.28273,0,0,0.00575702,0,0,-0.00159012
7,9,0.0022408,0.220333,0,0,-0.00257384,0,0,0.00219286
8,9,0.0107352,0.28787,0,0,6.01498e-05,0,0,-0.00119991
9,9,0.00467637,0.220275,0,0,-0.000254107,0,0,0.000208489
10,9,0.00233659,0.279853,0,0,-0.0192569,0,0,0.000546612
1,10,-0.00126182,0.232403,0,0,-0.00682444,0,0,9.15985e-05
2,10,0.00297844,0.338408,0,0,0.00627669,0,0,-0.00109292
3,10,-0.00288255,0.19004,0,0,0.00173131,0,0,-0.000944423
