id,Cl_SAEM,V1_SAEM,Q_SAEM,V2_SAEM,S_SAEM,R0_SAEM,gamma_SAEM,MTT_SAEM,Cl_mean,V1_mean,Q_mean,V2_mean,S_mean,R0_mean,gamma_mean,MTT_mean,Cl_mode,V1_mode,Q_mode,V2_mode,S_mode,R0_mode,gamma_mode,MTT_mode,Cl_sd,V1_sd,Q_sd,V2_sd,S_sd,R0_sd,gamma_sd,MTT_sd
1,2.81421,0.39537,2.32917,4.91092,20.139,982.964,0.43568,85.0246,2.81442,0.392594,2.33247,4.91079,20.1442,983.364,0.436658,85.0263,2.81513,0.389389,2.32851,4.91079,20.0975,983.018,0.435319,85.0228,0.0108015,0.0146021,0.0134802,0,0.195188,1.40658,0.00289823,0.0868458
2,2.81538,0.523668,2.33161,4.91092,20.1244,982.992,0.434017,85.0364,2.81571,0.521766,2.33398,4.91079,20.0759,983.088,0.434305,85.0366,2.81492,0.521179,2.33169,4.91079,20.0828,983.03,0.434083,85.0334,0.00984132,0.0265924,0.0144687,0,0.193889,1.41478,0.00340416,0.0942488
3,2.82071,0.951026,2.32317,4.91092,20.1228,982.675,0.434067,85.0327,2.82052,0.953393,2.32458,4.91079,20.1144,982.675,0.434412,85.022,2.8208,0.9504,2.32581,4.91079,20.1123,982.742,0.434314,85.0293,0.0109926,0.0334003,0.0148082,0,0.216101,1.57668,0.00294654,0.0678987
4,2.81807,0.70141,2.32714,4.91092,20.1246,983.594,0.435697,85.0235,2.81578,0.698462,2.33157,4.91079,20.1329,983.123,0.435846,85.027,2.81811,0.701724,2.32932,4.91079,20.1141,983.353,0.435605,85.022,0.011609,0.0268696,0.0117365,0,0.210964,1.5722,0.00331456,0.0842417
5,2.81493,1.14946,2.33383,4.91092,20.2419,983.619,0.436479,85.0236,2.81272,1.14553,2.33131,4.91079,20.175,983.676,0.436482,85.0156,2.81329,1.14478,2.33277,4.91079,20.2123,983.641,0.436207,85.0221,0.011175,0.0358644,0.0138473,0,0.182598,1.56484,0.00332447,0.0899219
6,2.81762,1.01501,2.33188,4.91092,20.0748,982.352,0.434621,85.031,2.81893,1.02084,2.33327,4.91079,20.0291,982.322,0.434063,85.0124,2.81778,1.01527,2.33279,4.91079,20.0639,982.43,0.434293,85.0221,0.0114629,0.0387372,0.0148777,0,0.21095,1.3383,0.0034923,0.0809846
7,2.82224,0.727852,2.32338,4.91092,20.0908,982.912,0.435197,85.0415,2.82337,0.72915,2.32449,4.91079,20.066,983.081,0.434547,85.0386,2.8239,0.728972,2.32449,4.91079,20.0748,982.947,0.434965,85.0262,0.0109821,0.0250839,0.0142647,0,0.238002,1.45288,0.0040689,0.0858639
8,2.82556,1.0234,2.32987,4.91092,20.0663,982.677,0.434881,85.0426,2.82765,1.02704,2.32901,4.91079,20.0228,982.932,0.434491,85.0394,2.82414,1.01952,2.32962,4.91079,20.0403,982.785,0.434841,85.0277,0.0118235,0.0392262,0.0141487,0,0.223155,1.5836,0.00301565,0.0840171
9,2.81885,0.878885,2.32428,4.91092,20.1207,982.813,0.435795,85.0359,2.81894,0.878429,2.32633,4.91079,20.1203,982.816,0.436166,85.0306,2.81971,0.879685,2.3264,4.91079,20.1045,982.781,0.435762,85.0283,0.0113578,0.0306953,0.0138593,0,0.210439,1.52286,0.00303025,0.0907533
10,2.81661,0.920807,2.33361,4.91092,20.0338,983.279,0.434775,85.0254,2.81713,0.916589,2.33415,4.91079,20.0307,983.431,0.434454,85.0265,2.8164,0.918798,2.33337,4.91079,20.0101,983.438,0.434797,85.0297,0.0109648,0.0331483,0.0134742,0,0.22393,1.35686,0.00261326,0.0808753
11,2.81868,1.31894,2.33177,4.91092,20.086,982.655,0.436987,85.0149,2.81837,1.30727,2.33206,4.91079,20.1456,982.598,0.436971,85.022,2.8174,1.30851,2.33217,4.91079,20.1076,982.652,0.436339,85.0171,0.0117485,0.04463,0.0135218,0,0.222165,1.45615,0.00276067,0.0828605
12,2.81264,0.573105,2.33166,4.91092,20.1594,983.436,0.436426,85.0297,2.81385,0.575818,2.33513,4.91079,20.1432,983.35,0.435865,85.015,2.813,0.573416,2.33148,4.91079,20.1561,983.474,0.435889,85.0245,0.0109044,0.0191407,0.0128564,0,0.220347,1.28394,0.0030249,0.0804772
13,2.81847,0.575067,2.32627,4.91092,20.0966,983.123,0.435513,85.0239,2.81938,0.576305,2.32632,4.91079,20.0436,983.076,0.436057,85.0181,2.81959,0.572383,2.32522,4.91079,20.0769,983.051,0.435676,85.0242,0.011549,0.0184547,0.0123739,0,0.22645,1.57254,0.00329264,0.087437
14,2.81538,0.636093,2.33228,4.91092,20.0913,983.171,0.436564,85.0161,2.81471,0.637691,2.33098,4.91079,20.1432,983.062,0.435587,85.011,2.8161,0.636889,2.33112,4.91079,20.1137,983.072,0.436232,85.0151,0.0130297,0.0223229,0.0129395,0,0.209629,1.41088,0.00320225,0.08631
15,2.81493,0.644018,2.32829,4.91092,20.0164,983.1,0.435915,85.0105,2.8155,0.647456,2.33033,4.91079,20.0755,982.961,0.436209,84.9941,2.81579,0.643229,2.33088,4.91079,20.0299,983.07,0.436327,85.0132,0.012553,0.0221939,0.0132672,0,0.203759,1.53016,0.00318074,0.0828534
