rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0.00495205,-0.537701,0.00499022,0,0.004665,-0.00151997,0.00909591,0.000742616
2,1,0.000378472,-0.541097,0.00519498,0,-5.19378e-05,0.002846,0.00495575,0.00174189
3,1,0.0054638,-0.494824,0.00460802,0,-0.00674042,-0.000517702,-0.00590279,-0.00135968
4,1,-0.00194891,-0.536062,-0.00413681,0,0.00110479,-3.99073e-05,0.012763,-3.54821e-05
5,1,-0.003245,-0.597063,0.00119862,0,-0.00652386,0.00063279,0.00606215,5.96714e-06
6,1,-0.00273486,-0.549811,-0.000367787,0,0.00468725,0.00171164,0.00845446,-0.00081658
7,1,-0.00649922,-0.587197,0.0124547,0,-0.00500752,-0.000445174,-0.000341493,0.000837314
8,1,-0.00747108,-0.550545,0.00532585,0,0.00026576,0.000454211,0.00308351,0.000158796
9,1,-0.00567891,-0.517817,-0.00836446,0,0.00441635,-0.00387055,0.00187506,0.00156353
10,1,0.00722492,-0.548537,0.000395706,0,-0.00361405,0.00160419,0.0151186,0.00105595
1,2,-0.00244823,-0.283219,0.0108773,0,-0.0161844,-0.000523509,-0.00358484,0.000675183
2,2,0.000648814,-0.323549,0.00891239,0,0.000875359,-0.000776862,-0.0149854,-0.0005264
3,2,-0.000768541,-0.290305,0.00759514,0,0.0220633,-0.000778447,-0.00728441,0.000439094
4,2,0.000631282,-0.31967,0.010256,0,0.0069945,-0.000569903,-0.00897687,0.000849443
5,2,0.000720716,-0.365883,0.0146349,0,-0.0136735,0.00132291,0.00138477,0.000547312
6,2,-0.000926355,-0.265816,-0.00147004,0,-0.00204124,-0.000630202,-0.0007349,-0.00208996
7,2,0.000281067,-0.20547,0.0123185,0,0.0033998,-0.00223663,0.00124311,0.00189548
8,2,0.000617533,-0.339053,0.00713419,0,-0.00233131,0.00200172,-0.0106401,-0.000173386
9,2,0.00302079,-0.264591,0.0026228,0,-0.00223243,-0.00141811,-0.00481247,5.2921e-07
10,2,-0.00181339,-0.199249,0.00739141,0,0.00330981,0.0013596,-0.00488561,6.74164e-05
1,3,-9.34816e-05,0.327653,-0.00377079,0,4.43496e-05,0.00180067,0.00545152,-0.00050767
2,3,0.00332313,0.343211,-0.0120158,0,0.0181812,0.002157,-0.0114525,0.000359012
3,3,-0.00374013,0.327119,0.00514613,0,-0.0156412,0.00108993,-0.0139137,0.000746588
4,3,0.00229787,0.356341,0.0133267,0,-0.00245565,0.00144885,-0.00942698,0.000918673
5,3,0.00109863,0.419163,-0.008735,0,-0.0205935,-0.00301843,0.00195195,-0.000104629
6,3,0.00185159,0.295362,0.00492008,0,-0.0145451,-0.0019697,0.00443762,-0.000772932
7,3,0.00319394,0.301537,0.00465514,0,0.0200195,-0.000257766,0.00711866,1.27327e-05
8,3,0.00678532,0.335438,-0.00573359,0,-0.0152374,-0.00143972,0.000541056,-0.000417171
9,3,0.000827359,0.279097,-0.00316301,0,0.00287105,-0.00123927,-0.0031201,0.00038894
