rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00130383,-0.568788,0,0,0.00926246,0.00250474,-0.00945305,-0.000233814
2,1,-0.00504935,-0.479987,0,0,0.0185163,-0.0042731,0.00635665,-0.000487206
3,1,-0.00188839,-0.531879,0,0,-0.00121664,0.00134563,-0.00265309,-0.00380857
4,1,0.000367707,-0.571756,0,0,0.0124864,0.00172682,-0.00463802,4.07806e-06
5,1,0.00096482,-0.506341,0,0,0.00308353,0.000216755,-1.19828e-05,-0.000552204
6,1,-0.00227826,-0.596456,0,0,0.00505178,-0.00188205,0.00121768,0.000623756
7,1,-0.00259858,-0.528285,0,0,0.0032035,-0.00294534,-0.00513256,0.000114458
8,1,0.000295835,-0.529632,0,0,-3.5224e-05,0.00141005,-0.00943047,-0.00186929
9,1,0.00105406,-0.616129,0,0,0.00152564,0.000385397,-0.0118516,0.00107303
10,1,0.00234203,-0.547757,0,0,0.00684039,-0.000388288,0.00912116,-0.000674197
1,2,-0.00164517,-0.227968,0,0,7.42794e-05,-0.000621559,-0.0103894,-0.00147966
2,2,-0.00333137,-0.311931,0,0,-0.000747288,0.00178737,-0.0123329,0.00141622
3,2,-0.00561402,-0.264564,0,0,-0.000469552,0.000379354,-0.00177465,0.000831422
4,2,-0.00108805,-0.230098,0,0,0.00941406,0.00377441,0.0113248,-0.00140266
5,2,0.00460088,-0.37072,0,0,-0.0022533,-0.00202703,-0.00196406,-0.00136046
6,2,0.00158074,-0.248807,0,0,-0.00899815,-0.00312838,-0.00921791,0.0005616
7,2,0.00013041,-0.244254,0,0,0.00160831,-0.000239163,0.00242004,0.00124339
8,2,-0.00195223,-0.270735,0,0,0.00135862,1.48812e-05,-0.00209254,0.00141332
9,2,-1.21157e-05,-0.266236,0,0,-0.00370352,0.00468216,-0.00454711,0.00185322
10,2,0.00087254,-0.260147,0,0,0.00464883,-0.00248855,-0.0113313,-0.000825124
1,3,-0.000453023,0.328521,0,0,-0.00903277,-0.000739416,0.00125028,0.00169827
2,3,-0.000849554,0.291856,0,0,0.00390655,0.000401986,0.00398944,-0.000488156
3,3,0.00159143,0.306518,0,0,0.00436882,-0.00602252,-0.00821604,0.000233805
4,3,-0.0052458,0.313246,0,0,-0.00333468,-0.00435433,0.000741376,0.000758284
5,3,-0.00175503,0.258266,0,0,-0.0042364,-0.00126164,-0.00764566,0.00203693
6,3,-0.000943538,0.293627,0,0,0.00259773,-0.00082016,0.00402872,-0.000871876
7,3,-0.000241415,0.336864,0,0,-0.0109854,0.000131194,-0.0112219,-0.00265828
8,3,0.00441467,0.276796,0,0,-0.00651586,-0.00398696,-0.00898107,0.000923452
9,3,-0.00159295,0.341475,0,0,-0.00626156,-0.00233591,-0.00429106,0.00314662
10,3,-0.00339435,0.334747,0,0,0.00335194,0.0028624,-0.000181392,0.00235202
1,4,-0.00324019,0.0369378,0,0,0.00274111,0.000927539,0.010563,-0.00146989
2,4,-0.00370335,-0.0261007,0,0,-0.014218,7.41465e-05,-0.00835251,-0.00139688
3,4,-0.00577449,0.00300939,0,0,0.00953682,0.0010435,-0.00895951,-0.000348072
4,4,0.00010335,0.0104921,0,0,-0.001713,0.00413211,0.00688931,-0.000984784
5,4,0.00258248,-0.0054422,0,0,0.00483141,0.00258953,-0.00238078,0.00119477
6,4,0.00500101,-0.0202006,0,0,-0.000501387,0.00455148,0.011552,-0.000388337
7,4,-0.00541396,-0.0171319,0,0,0.0057615,0.0011364,-0.010615,-9.90953e-05
8,4,-0.00154155,0.0713984,0,0,0.00970019,0.00589424,0.000875339,0.00144198
9,4,3.17566e-05,0.0383458,0,0,0.00264693,0.003875,0.00108917,0.000404852
10,4,-0.0049869,0.0206125,0,0,-0.00505733,-0.0005121,0.00480968,0.000708891
1,5,-0.00299327,0.494438,0,0,0.00314358,0.00343566,0.00520893,0.00106965
2,5,-0.00445197,0.510388,0,0,0.00192871,-0.000649904,1.45963e-05,0.00195254
3,5,-0.000107375,0.517625,0,0,0.00593882,0.00199906,0.00630128,-0.00171269
4,5,-0.00276188,0.508247,0,0,0.00682581,-0.000538665,0.0018991,0.00198319
5,5,0.000565898,0.507295,0,0,-0.00402242,0.00168812,-0.00325374,0.000452262
6,5,-0.000205424,0.513092,0,0,-0.000326195,0.00198551,-0.00190963,0.000598668
7,5,0.000296161,0.558482,0,0,-0.00918254,0.00789739,0.00688713,0.000234776
8,5,0.000655127,0.479476,0,0,0.00977637,0.00168853,-0.00546705,-5.97168e-05
9,5,-0.00411841,0.518612,0,0,0.00777297,0.000923224,0.0120103,0.000548166
10,5,3.58708e-05,0.507904,0,0,0.0153593,-0.000943483,-0.00306528,0.00165243
1,6,-0.00242617,0.431833,0,0,0.0069446,-0.0032114,-0.0145819,-0.00300234
2,6,-0.0022199,0.400908,0,0,-0.002074,-0.00149251,0.00630902,0.00101876
3,6,0.000745797,0.406595,0,0,-0.0012395,0.00108078,-0.00756942,-0.00195367
4,6,-0.00159285,0.383557,0,0,-0.0066894,0.000433631,0.000814855,0.000783098
5,6,-0.000377047,0.434761,0,0,0.00227758,5.07414e-06,0.00876733,0.000386551
6,6,-0.00161316,0.351449,0,0,0.00122311,0.00178001,-0.0132566,-0.000165181
7,6,0.00154664,0.396628,0,0,-0.00170007,6.72275e-05,-0.00217992,-0.000236699
8,6,0.0037543,0.458668,0,0,-0.00221874,0.000265854,0.0075978,-0.00028648
9,6,0.00170697,0.435967,0,0,-0.00104646,0.000809972,-0.000848051,0.000432754
10,6,0.00277443,0.407114,0,0,-0.000155449,0.00247953,-0.00666926,0.00106594
1,7,0.000735624,0.0412176,0,0,0.00951167,-0.00139866,0.00151258,0.00205496
2,7,0.000438278,0.0458611,0,0,0.000517353,-0.00238176,-0.0018612,-0.000647201
3,7,-5.86179e-05,0.0425378,0,0,-0.00277393,-3.81009e-05,-0.00611056,0.000432651
4,7,0.00217294,0.0913091,0,0,0.00798406,0.00169365,0.00878967,0.000843184
5,7,-0.000749932,0.0246809,0,0,0.00166052,0.003384,0.00682988,0.00213554
6,7,-0.00295593,0.0406222,0,0,0.010344,-0.000603329,-0.00168132,-6.52517e-05
7,7,-0.00344726,0.0707162,0,0,-0.00528227,-0.00244578,0.00755709,0.000702825
8,7,-0.00416735,0.0827214,0,0,0.00758718,-0.000291121,0.00148561,-0.00257067
9,7,-0.000363125,0.0333093,0,0,0.00931869,-0.000249753,-0.00674499,-0.000308611
10,7,0.00708547,0.0328203,0,0,0.00277153,-0.00208574,-0.0206265,-0.00132958
1,8,0.00286816,0.387685,0,0,-0.00759813,-0.00147002,0.00619061,-0.000667326
2,8,0.00255549,0.37499,0,0,-0.0106354,0.00357217,-0.0122395,0.000352745
3,8,-0.00205869,0.407078,0,0,0.00377574,-0.000265546,-0.00866288,0.000604314
4,8,0.00348116,0.388379,0,0,0.00845036,-0.00438146,-0.00907283,0.00202384
5,8,-0.000232475,0.417318,0,0,-0.00525979,-0.000562688,0.000801826,0.00160124
6,8,-0.000135913,0.362505,0,0,-0.0127345,-0.0011542,0.00305382,0.00128968
7,8,-0.000771339,0.33784,0,0,-0.00911633,-0.000497142,-0.00725005,0.000638851
8,8,0.00219468,0.365226,0,0,-0.00175125,-0.00059245,-0.00451874,-0.00134335
9,8,6.40685e-05,0.395208,0,0,0.0108409,0.00291175,-0.00407461,0.000684343
10,8,-0.00157165,0.39828,0,0,-0.00642483,-0.000767777,0.00284956,0.000519266
1,9,-0.00226083,0.218988,0,0,0.0186271,0.00168569,0.0045795,-0.00105216
2,9,0.00109721,0.320391,0,0,0.00421148,0.00252801,-0.0121654,-0.00270058
3,9,-0.00209553,0.231668,0,0,0.0029393,-0.00159043,-0.00385619,0.00113875
4,9,0.00282222,0.243832,0,0,-0.00882739,-0.00185955,0.00130412,-0.00241113
5,9,-0.0010516,0.248207,0,0,0.00790196,0.00154541,0.00561616,-0.00142461
6,9,0.00546495,0.181358,0,0,-0.00047547,-0.00233094,0.00399989,0.000336176
