id,eta_Cl_SAEM,eta_V1_SAEM,eta_Q_SAEM,eta_V2_SAEM,eta_S_SAEM,eta_R0_SAEM,eta_gamma_SAEM,eta_MTT_SAEM,eta_Cl_mean,eta_V1_mean,eta_Q_mean,eta_V2_mean,eta_S_mean,eta_R0_mean,eta_gamma_mean,eta_MTT_mean,eta_Cl_mode,eta_V1_mode,eta_Q_mode,eta_V2_mode,eta_S_mode,eta_R0_mode,eta_gamma_mode,eta_MTT_mode,eta_Cl_sd,eta_V1_sd,eta_Q_sd,eta_V2_sd,eta_S_sd,eta_R0_sd,eta_gamma_sd,eta_MTT_sd
1,0.00720245,0,0,0.0827356,0.00983341,0.000150769,0.000202911,5.29698e-05,0.00737244,0,0,0.0870629,0.0112451,5.56864e-05,3.09087e-05,0.000136999,0.00762043,0,0,0.0841296,0.00948258,0.000196974,-7.10121e-05,1.89845e-05,0.0110728,0,0,0.0395947,0.0161975,0.00203941,0.00518672,0.00208432
2,0.00308665,0,0,0.0713574,0.00363449,0.000343444,-0.00142683,0.000989662,0.00470216,0,0,0.0647149,0.0065634,0.000132683,-0.00143704,0.000516669,0.0044793,0,0,0.0696883,0.0052991,0.000217664,-0.00137347,0.000780807,0.0110428,0,0,0.0424033,0.0171103,0.00196439,0.00487379,0.00226223
3,-0.0108883,0,0,-0.136289,0.00230059,-0.000635364,-0.00142923,0.000462993,-0.0114377,0,0,-0.144084,0.00221785,-0.000775442,-0.001665,0.000519584,-0.0102401,0,0,-0.145755,0.000836778,-0.000429797,-0.00146193,0.000491166,0.0105333,0,0,0.0442669,0.015989,0.0019536,0.0041022,0.00208439
4,0.00312142,0,0,-0.0177225,0.00517329,0.000664192,-0.000688299,3.18765e-06,0.00143967,0,0,-0.0108258,0.00448077,0.000549861,-0.000127182,-0.000144867,0.00221412,0,0,-0.0151531,0.00279181,0.000642473,-0.000181291,4.62771e-05,0.0114571,0,0,0.0520015,0.0158018,0.00176829,0.00458909,0.00221327
5,-0.0232056,0,0,-0.356261,0.0142483,0.00121874,0.000436321,-2.38722e-05,-0.0245568,0,0,-0.354686,0.0139922,0.00126879,-0.000612652,0.000160214,-0.0237842,0,0,-0.355691,0.0132443,0.00113054,0.000116174,0.000146073,0.00818431,0,0,0.0358554,0.0167297,0.00194276,0.00438877,0.00213206
6,-0.0117337,0,0,-0.227499,-0.00493384,-0.00131092,-0.00128482,0.000379296,-0.0120242,0,0,-0.233095,-0.00904233,-0.00105365,-0.000869666,0.000298987,-0.0108342,0,0,-0.234828,-0.0101605,-0.000901824,-0.00136831,0.000209303,0.00940357,0,0,0.0441956,0.0172078,0.00195452,0.00458714,0.00210203
7,0.00433085,0,0,-0.0145754,-0.000629373,5.34874e-05,-0.00078841,0.000414391,0.00516869,0,0,-0.0177707,-0.00194735,8.83683e-05,3.53474e-06,0.000468383,0.00593961,0,0,-0.0167693,-0.00246988,-6.04837e-05,-0.000728264,0.00027156,0.0107464,0,0,0.0496211,0.0170303,0.00187273,0.00378452,0.00245984
8,-0.00322984,0,0,-0.236267,-0.0101157,-0.000515099,-0.0009249,0.000527629,-0.00403622,0,0,-0.24585,-0.00733302,-0.000413433,-0.000169925,0.000714946,-0.00397437,0,0,-0.242567,-0.00821379,-0.00033052,-0.000864174,0.000411043,0.00869348,0,0,0.0429731,0.0199118,0.00207344,0.00462028,0.00222258
9,-0.00499592,0,0,-0.125799,-0.00045063,-0.000439587,-0.00038958,0.000638954,-0.00715853,0,0,-0.124047,0.00233831,-0.00032786,-0.000587164,0.000313325,-0.00544154,0,0,-0.124301,0.000632861,-0.000359171,-6.90409e-05,0.00038908,0.0106647,0,0,0.0489239,0.0172706,0.00185206,0.00521063,0.0021132
10,-0.00755403,0,0,-0.154521,-0.0150164,0.000979036,-0.00120916,0.000630186,-0.00813274,0,0,-0.151073,-0.0140036,0.000839469,-0.000475649,0.000660699,-0.00794708,0,0,-0.15093,-0.0104413,0.000799542,-0.000879496,0.000460261,0.00930378,0,0,0.0457184,0.0163779,0.00191072,0.0045066,0.00201637
11,-0.0331829,0,0,-0.330349,-0.00254933,-0.000837267,-0.000152107,-0.000223765,-0.0332202,0,0,-0.334898,-0.00117228,-0.000432941,0.000662482,9.38842e-06,-0.033388,0,0,-0.336341,-0.00246284,-0.000587971,0.000229863,-0.000120466,0.00836263,0,0,0.0394495,0.016966,0.00206857,0.00482659,0.00205438
12,0.00126667,0,0,0.0336007,0.014561,0.00068793,0.000547622,0.000357513,-9.50623e-05,0,0,0.0387692,0.0107513,0.00132654,0.000420319,0.000277512,0.00144426,0,0,0.0356807,0.0103677,0.000853749,0.000185927,0.000129881,0.00986137,0,0,0.0420965,0.0154005,0.00194036,0.00392735,0.00214116
13,0.00591077,0,0,0.0657253,-0.000901478,0.00011644,-0.000313988,-7.642e-06,0.00500568,0,0,0.0713427,-0.000784855,0.000235026,-3.09225e-05,0.000101702,0.00600332,0,0,0.0690102,0.000195809,0.000125678,4.33079e-05,0.000104097,0.0112504,0,0,0.0439695,0.016597,0.00206721,0.00456519,0.0022656
14,0.00244815,0,0,0.0122544,0.00544749,1.06045e-05,0.000920063,-0.00025207,0.00199246,0,0,0.0157821,0.00643762,-0.00022972,0.000714567,-0.000156255,0.00226798,0,0,0.0159818,0.0043283,0.00015369,0.00048727,-0.000371395,0.0110431,0,0,0.0497661,0.0164084,0.00197824,0.00502547,0.00213374
15,0.00298498,0,0,0.00958766,-0.00707511,0.000348763,0.000555007,-0.000472703,0.00166885,0,0,0.0100896,-0.00632643,0.000221301,0.00127836,-0.000591098,0.00324445,0,0,0.0110298,-0.00719977,0.00015473,0.000777602,-0.000520518,0.0116943,0,0,0.0456064,0.0170857,0.00200898,0.0047013,0.00215022
16,0.00935774,0,0,0.0323995,-0.00904363,-0.000448333,0.00117477,0.000519468,0.0106458,0,0,0.0256406,-0.00344543,-0.000178727,0.00127435,0.000571965,0.00932183,0,0,0.0533697,0.000669272,-0.000761599,0.000893857,0.000425038,0.0118497,0,0,0.0544461,0.0198247,0.00199333,0.00449176,0.001938
17,0.0115747,0,0,0.00956094,-0.00171318,-0.000205831,0.000695913,-0.000947185,0.0106281,0,0,0.00517267,-0.00232726,-0.000310624,0.000678358,-0.000918971,0.00874164,0,0,0.017967,0.00556052,-0.000127492,0.0012668,-0.000266906,0.0105593,0,0,0.0447058,0.018966,0.00206492,0.00467853,0.00198378
18,0.00106965,0,0,-0.0013621,0.000839599,-0.000459051,-0.000966244,6.80715e-05,0.00105483,0,0,-0.000188931,-0.000463041,-0.00115873,-0.00130253,0.000132409,-0.00015038,0,0,0.0164066,0.00374898,-0.000634309,-0.000610186,0.000128919,0.0109191,0,0,0.047445,0.0192439,0.00191573,0.00470986,0.00205448
19,-0.00144255,0,0,-0.176155,-0.00593676,-0.000394386,-0.00280299,0.00110791,-0.00210885,0,0,-0.176431,-0.00565699,0.000102815,-0.00235351,0.00123099,-0.00260473,0,0,-0.176759,0.00218362,-0.000145244,-0.00289683,0.00111167,0.010384,0,0,0.0483208,0.0151825,0.00212089,0.0043643,0.00195018
