rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.000360975,0,0,0.111059,0.00580808,-0.0004359,-0.0010642,-0.00459739
2,1,0.0201774,0,0,0.0657991,-0.00313156,0.000842681,-0.00522679,0.000358512
3,1,0.000756161,0,0,0.162847,0.0223635,-0.000842984,0.00347645,0.000808008
4,1,-0.00111023,0,0,0.145332,0.0238855,-0.0015372,0.00141028,0.000731456
5,1,-0.00541301,0,0,0.0636519,0.0081966,-3.37064e-06,-0.00480348,0.000268511
6,1,0.0119083,0,0,0.100617,0.0356119,0.00131029,-0.00862684,-0.00268989
7,1,0.0183036,0,0,0.0202412,0.0461182,0.00013084,-0.00782873,0.000354879
8,1,0.0210029,0,0,0.0353143,0.0435067,0.00136157,0.00329965,-0.00138375
9,1,-0.013817,0,0,0.108662,-0.0164253,-0.00418329,-7.70818e-05,-0.00181162
10,1,-0.0020186,0,0,0.131204,0.0241764,-0.000366763,-0.000626025,0.00266495
1,2,-0.00443518,0,0,0.0279277,0.00331447,0.000226513,-0.000103239,-0.000167584
2,2,0.0101043,0,0,0.103726,0.0354039,0.00187169,0.00482776,-0.0013319
3,2,0.0115744,0,0,0.0925322,0.0162648,-0.000347227,0.00264015,-0.00051403
4,2,0.0135645,0,0,0.0402671,-0.00965787,-0.00252494,-0.00155036,0.00116466
5,2,0.0131667,0,0,0.0859126,0.0108433,0.00201025,-0.00832596,0.00381981
6,2,-0.0110716,0,0,0.0963966,0.00104163,-0.00147152,0.00353269,0.00351245
7,2,0.00141698,0,0,0.0314167,0.00565232,0.00402478,-0.00368697,0.00519677
8,2,0.00390724,0,0,0.0914587,-0.00691696,-0.0026308,-0.00113699,-0.000226062
9,2,0.0210239,0,0,-0.0210228,0.0530292,-0.00339424,0.000861379,0.0014038
10,2,0.015488,0,0,0.0555527,-0.00559024,-0.00109458,-0.00615567,-0.00434232
1,3,-0.00686164,0,0,-0.112263,-0.0087701,-0.00487587,-0.00529276,-0.00147655
2,3,-0.0294414,0,0,-0.142104,0.000286493,-0.00194229,0.00199734,-0.00231884
3,3,-0.00955727,0,0,-0.200774,0.00204745,-0.000476746,-0.0101898,-0.000852147
4,3,-0.00130439,0,0,-0.107049,-0.0040998,-0.00431003,-0.00023182,-0.000898709
5,3,-0.00384598,0,0,-0.129518,-0.0373488,-3.45413e-05,-0.00652186,-0.00180696
6,3,-0.00337275,0,0,-0.136879,-0.0130181,-0.00158505,-0.00295837,-0.000149808
7,3,-0.0243701,0,0,-0.00791088,0.00944166,-0.00140438,-0.00785294,0.00267533
8,3,-0.033227,0,0,-0.0887678,0.00853264,-0.00251258,-0.00301186,0.000615912
9,3,-0.0125637,0,0,-0.170974,-0.0278195,-0.00221948,0.00605838,-0.00110032
10,3,-0.00619758,0,0,-0.162446,0.00313366,-0.00157031,-0.00405045,0.00229449
1,4,-0.0112263,0,0,-0.00789726,0.00242308,-0.00358596,0.000736537,-0.000700115
2,4,-0.0172737,0,0,0.0362344,-0.00780374,0.00366507,0.00380847,0.000495515
3,4,-0.0059428,0,0,0.0125886,-0.00978314,0.0016648,0.00693176,0.00229454
4,4,0.0338112,0,0,-0.102247,0.0107206,0.000798668,0.00579919,0.00033177
5,4,-0.00721009,0,0,-0.0309006,0.0128312,0.00141905,-0.00194409,0.000363879
6,4,-0.0095836,0,0,0.045949,0.0112021,0.00318787,-0.0013937,0.00362493
7,4,-0.00399052,0,0,-0.00917009,0.00743583,0.0033328,0.00674674,0.00109303
8,4,-0.00172271,0,0,0.068399,-0.00294518,0.00115318,0.00555562,0.00191741
9,4,-0.0160514,0,0,0.118443,0.001497,-0.00234681,-0.00131672,0.00136903
10,4,-0.00122305,0,0,-0.0229042,0.00553133,0.0013486,-0.00169368,0.000364795
1,5,-0.0212268,0,0,-0.333625,0.00154731,0.00167377,0.00412902,-0.00246897
2,5,-0.0241529,0,0,-0.315907,0.0362378,0.00116474,-0.00281873,0.00502628
3,5,-0.0179099,0,0,-0.331358,0.00161446,0.00152982,-0.000687434,0.000935553
4,5,-0.0380111,0,0,-0.335698,0.0031371,0.00252785,-0.00655631,-0.00162623
5,5,-0.0261144,0,0,-0.309911,-0.00531167,0.00583893,-0.00174861,-0.00126226
6,5,-0.0126401,0,0,-0.366658,0.02909,0.00206132,-0.00835962,-0.00069905
7,5,-0.0224094,0,0,-0.389583,0.00755171,0.002459,-0.0039915,-0.000186158
8,5,-0.023121,0,0,-0.366259,0.0552916,-0.00201369,-0.00292601,0.000878751
9,5,-0.0304017,0,0,-0.298923,0.0138787,0.00402044,0.0110986,0.00178622
10,5,-0.0268094,0,0,-0.349486,0.0117581,-0.000215298,-0.000259373,0.00417805
1,6,-0.0224193,0,0,-0.183554,-0.0129358,0.00254863,-0.00565271,-0.00228116
2,6,-0.0185431,0,0,-0.226261,-0.0123285,0.000626211,0.00194499,0.00263022
3,6,-0.0223709,0,0,-0.180928,-0.0318501,-0.000219355,-0.00322469,0.000615912
4,6,-0.00805779,0,0,-0.215895,-0.0192926,0.000986132,-0.00660134,-0.000984446
5,6,-0.0170492,0,0,-0.224356,-0.0143312,0.000225919,-0.00171891,-0.00371603
6,6,-0.0080488,0,0,-0.193585,-0.0194667,0.000858663,0.000719125,-0.00285276
7,6,9.43032e-05,0,0,-0.215567,0.00633881,-0.000356216,-0.00176313,-0.000100957
8,6,-0.00233785,0,0,-0.248624,0.0290432,0.000330594,-0.00250534,0.000712295
9,6,-0.0217402,0,0,-0.173189,-0.00519674,0.00153883,0.00431435,-0.000946971
10,6,0.00280514,0,0,-0.196682,-0.0295835,-0.00448853,0.000408266,0.00145252
1,7,0.00118921,0,0,0.00765419,-0.00580658,9.51015e-05,-0.00208153,-0.000201217
2,7,0.012151,0,0,-0.0365936,0.00840033,0.000471858,0.000160073,-0.000403867
3,7,0.0185694,0,0,-0.0815846,0.000637911,0.00175474,0.00275929,0.00556135
4,7,-0.0121569,0,0,0.0102781,0.0128091,-0.000391547,-0.00106869,-0.000392116
5,7,0.0146807,0,0,-0.0196578,-0.0212641,-0.00278917,0.00519359,0.00213354
6,7,-0.00478582,0,0,-0.0279602,0.0211006,0.000637735,-0.000696894,-0.000941897
7,7,-0.00228508,0,0,0.0366628,0.0180757,-0.0017007,-0.00670871,0.000946074
8,7,0.0226682,0,0,-0.0656187,0.012366,-0.00200125,-0.00847508,-0.000398391
9,7,0.00682837,0,0,-0.00221049,-0.00828974,0.00357038,-0.0095774,-0.00127422
10,7,-0.00652589,0,0,0.0194814,-0.0214274,-0.000922323,-0.000849258,0.000535124
1,8,-0.00465687,0,0,-0.210532,-0.00472534,-0.00120781,-0.00588273,-0.000897892
2,8,-0.00337792,0,0,-0.243856,0.00899671,-0.00409124,-0.00787839,0.00231078
3,8,-0.0114082,0,0,-0.195728,-0.0244463,0.000352661,0.000484405,0.00330793
4,8,-0.0133039,0,0,-0.115906,-0.0202587,-0.00180585,-0.00316646,0.00274966
5,8,-0.00871365,0,0,-0.272418,-0.0292751,0.00200918,-0.00470179,0.0037465
6,8,0.00838679,0,0,-0.281841,-0.00955861,0.000876863,-0.000778801,-0.000808614
7,8,-0.00494221,0,0,-0.271614,0.00567767,0.00151664,0.00370904,0.00750512
8,8,-0.00599765,0,0,-0.254072,0.00250118,0.000819354,-0.00445775,0.00138383
9,8,-0.00666438,0,0,-0.25377,0.0139543,0.00173919,-0.00452926,0.00199515
10,8,0.00286316,0,0,-0.307818,-0.0144099,0.00121084,0.00678385,-0.0014443
1,9,-0.0125073,0,0,-0.108995,0.00862751,0.000844171,0.00544084,0.00281233
2,9,0.0111445,0,0,-0.181167,-0.00302699,-0.000935822,-0.000742969,-0.000507881
3,9,-0.00323263,0,0,-0.115577,0.0182628,0.0012502,0.0060967,-0.00168023
4,9,0.000286219,0,0,-0.147816,-0.00765433,1.12262e-05,-0.0119516,-0.00241868
5,9,0.00304319,0,0,-0.215363,-0.00432171,0.0024138,-0.00425689,-5.54573e-05
6,9,-0.00704943,0,0,-0.133231,0.0111049,-0.00143242,-0.00380748,0.00411944
7,9,-0.011819,0,0,-0.161758,-0.000536948,-0.000562778,-0.0103896,0.00302999
8,9,-0.00468566,0,0,-0.202612,-0.00675348,0.000713442,0.00200009,0.0025132
9,9,-0.0241886,0,0,-0.142492,-0.0354975,-0.000303761,0.000198727,-0.000135622
10,9,-0.00556159,0,0,-0.184073,-0.00701901,-0.00145028,-0.0054296,0.00229984
1,10,-0.00662415,0,0,-0.110163,-0.015015,0.00426724,0.00347388,-0.000985153
2,10,-0.00663009,0,0,-0.179559,-0.0137597,0.000886332,-0.00519888,1.19107e-06
3,10,-0.00620368,0,0,-0.177905,0.00692716,0.000190213,0.00417949,-0.00123794
4,10,-0.0169982,0,0,-0.183346,-0.0209139,-0.00057896,-0.00584589,0.00375183
5,10,-0.0136219,0,0,-0.0809279,-0.0288361,-0.000184394,-0.000373968,0.00149257
6,10,-0.00197699,0,0,-0.160625,-0.0230711,-0.00151661,-0.00381312,-0.00127955
7,10,-0.00925458,0,0,-0.261897,0.000324693,0.00171907,-2.95333e-06,0.000413861
8,10,-0.0236747,0,0,-0.142377,0.000934059,-0.0025528,-0.00225205,0.00176702
9,10,-0.0194464,0,0,-0.147789,-0.0155006,0.00163946,0.00723293,-0.00386169
10,10,0.00496237,0,0,-0.269025,0.0104513,0.00159549,0.000561296,-0.00234931
1,11,-0.047439,0,0,-0.341765,0.00392038,-0.00176052,0.00404368,0.000790515
2,11,-0.0315477,0,0,-0.277289,0.00719048,-0.00449239,0.0058707,-0.00204138
3,11,-0.0417868,0,0,-0.388193,0.0013935,0.00201712,1.37299e-05,-0.00186591
4,11,-0.0258748,0,0,-0.364683,0.0136956,-0.000171945,0.000463162,-0.000189494
5,11,-0.0403644,0,0,-0.341385,-0.0202043,0.0033457,0.00885088,0.00282219
6,11,-0.0410125,0,0,-0.309104,0.015726,0.00251475,-0.00052089,-0.00188884
7,11,-0.0365053,0,0,-0.275688,0.00610515,-0.000878443,0.00483321,0.00287033
8,11,-0.0401056,0,0,-0.302524,0.0116878,-0.00031248,0.00563184,-0.00278132
9,11,-0.0387099,0,0,-0.312767,-0.00146715,-0.000273567,0.00616648,0.00245691
10,11,-0.0271699,0,0,-0.305454,-0.0353101,0.00352301,0.00296538,-0.000424968
1,12,0.0148311,0,0,-0.0381604,0.033203,0.000774772,0.000558832,0.000167188
2,12,-0.00537395,0,0,0.0588912,0.0124622,0.001682,0.00283971,-0.000460821
3,12,0.0103243,0,0,0.0206857,-0.0281614,0.00285327,0.00113758,0.00188276
4,12,-0.00854428,0,0,0.102149,-0.00470843,-0.000307726,0.00870424,-0.000378908
5,12,0.00123415,0,0,0.0581688,0.00231171,-0.000100344,-0.00521532,-0.00129143
6,12,-0.0101412,0,0,0.0907612,0.0173774,-0.000182883,-0.000713342,0.00162918
