rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0.00382733,-0.606734,0,-0.0110767,-0.00291208,-0.00112872,-0.0104275,-0.00159859
2,1,-0.00371198,-0.645479,0,0.0146113,-0.0100525,0.000205902,0.0167472,0.000143195
3,1,0.00453492,-0.533151,0,-0.00964141,0.00831037,-0.00179589,0.00929501,0.00147107
4,1,0.000202731,-0.558464,0,-0.00236894,0.00752795,0.00128674,-0.00164847,0.00121661
5,1,-0.00162966,-0.498828,0,0.0187044,-0.00617721,-0.00130316,-0.00241947,0.00168517
6,1,0.000409443,-0.48465,0,-0.0038157,0.00253834,0.00132638,0.00843104,-0.0011268
7,1,-0.00216408,-0.524456,0,0.00126574,0.00136021,0.00119941,0.00541561,-0.00156532
8,1,-0.000175191,-0.530353,0,0.00885465,0.0158548,0.00293275,0.00374439,-0.0012224
9,1,-0.00233233,-0.505795,0,0.0178503,0.000303049,-0.000721527,0.00130808,0.000561692
10,1,-0.00656694,-0.506972,0,0.015865,-0.00475204,-0.00136459,-0.00829296,0.000970793
1,2,0.000625086,-0.29282,0,0.00907711,-0.0316604,0.00268253,0.0139206,-0.00182942
2,2,0.00249561,-0.220221,0,-0.00037652,-0.00517459,0.000231127,-0.000814124,-0.000502496
3,2,-0.00112216,-0.30334,0,0.00795964,-0.00220838,-0.000181608,-0.00115132,0.00209222
4,2,-0.00218796,-0.343254,0,-0.0109197,-0.00743326,-0.00211758,-0.00499801,-0.000877518
5,2,-0.00177044,-0.314732,0,0.0114509,0.0297118,0.00048694,-0.0145601,0.00233391
6,2,-0.00458313,-0.227507,0,0.0106355,0.0083653,-7.94975e-05,-0.00305672,0.00152634
7,2,-0.00213501,-0.236971,0,0.0287547,-0.00727704,0.000481406,-0.00929329,0.00132057
8,2,-0.00193204,-0.29211,0,-0.000471885,-0.0182113,8.20983e-05,-0.0141846,-0.00178223
9,2,0.00121565,-0.183003,0,0.0229253,-0.0125923,-0.00103674,0.0114493,0.000859707
10,2,-0.00322467,-0.333668,0,-0.00910984,-0.0195719,6.40754e-05,-0.00715812,0.00290271
1,3,-0.00569133,0.249418,0,-0.0124511,0.00366822,-0.00110517,-0.00584004,-0.000855749
2,3,-0.00150805,0.291731,0,0.00702537,0.0132072,0.000702001,0.0048255,7.88744e-05
