rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,0.00259441,-0.503701,0.0012252,0,-0.0144484,0.000560976,0.00548798,-1.53204e-05
2,1,0.00126497,-0.539475,-0.000410636,0,0.00653576,0.00287787,0.00155466,0.000809794
3,1,-0.00372734,-0.579007,0.00996383,0,-0.00598771,0.000202039,0.000526256,-4.02011e-05
4,1,-0.00638663,-0.554145,0.0119003,0,0.0057013,0.00138537,0.00156791,-0.00080564
5,1,-0.00539267,-0.519339,-0.00409773,0,-0.0102886,-0.0027462,-0.00178342,0.00129547
6,1,0.00491949,-0.578502,-0.00690038,0,-0.000847613,0.00154329,0.00755886,0.000739523
7,1,-0.00267641,-0.567145,-0.00230349,0,-0.00232648,0.00302201,-0.000380921,-0.00140042
8,1,-0.000748434,-0.570632,-0.0042668,0,0.00616329,0.00133942,0.00214476,0.000688685
9,1,-0.0024915,-0.538673,0.00165596,0,0.00438061,-0.00177616,-0.000162211,0.000280204
10,1,-0.00597457,-0.543702,0.00725598,0,-0.0044959,-0.00174722,-0.00660407,0.000278554
1,2,0.00149164,-0.337809,0.0169448,0,-0.0026226,0.00213002,-0.0055429,0.000501231
2,2,-0.00150765,-0.319497,0.00567782,0,-0.0126703,0.000188471,-0.0131948,-0.00160067
3,2,0.00118793,-0.205288,0.0119133,0,-0.00880274,-0.00200696,0.000498236,0.0012139
4,2,-5.77301e-05,-0.299889,-5.14741e-05,0,-0.0158263,0.000100889,-0.0134539,-0.000419646
5,2,-0.00118795,-0.272718,0.0013827,0,0.00528166,-0.000467577,-0.00307208,0.0012628
6,2,0.00204795,-0.203355,1.59744e-05,0,-0.00425323,0.00096628,-0.00302801,0.000687853
7,2,0.00185258,-0.257642,0.00804283,0,-0.00852906,0.00203707,-0.00384743,0.00118804
8,2,0.00194709,-0.268409,-0.00399517,0,-0.00680606,-0.00117338,-0.0101433,-0.000339711
