rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00314656,-0.516655,-0.00789734,-0.0049462,-0.0146724,0.001135,0.00431017,0.00334344
2,1,0.00319302,-0.552028,0.00949998,-0.0191069,0.00926723,-0.00412344,-0.000359911,-0.0023204
3,1,0.00195251,-0.588023,-0.000773801,-0.00493783,-0.0119905,0.000232504,0.00188822,-0.00175059
4,1,0.00114968,-0.570236,-0.00249637,0.0106787,0.00660377,0.000744953,-0.00414832,-0.00131328
5,1,-0.000434523,-0.616337,0.00076454,0.00633525,-0.00351431,-0.0023861,0.00337636,-0.00142844
6,1,-0.00446908,-0.62798,-0.00845054,-0.00676662,0.000906028,0.000234747,-0.00283423,-0.000300002
7,1,0.000323812,-0.562792,0.00115801,0.00261184,-0.000127668,0.000744666,-0.0047821,-0.00439579
8,1,0.00134556,-0.560139,-0.00494274,-0.00715738,-0.00252519,-0.00206648,-0.00557959,-0.000630742
9,1,-0.00585028,-0.574207,-0.00797006,0.00573439,-0.00154248,-0.000430632,0.00538643,0.000412016
10,1,-0.00322884,-0.549298,0.00781063,0.015865,-0.0107844,0.000695644,0.000786851,-0.00104641
1,2,0.00655711,-0.268429,0.0017689,0.00905475,0.00247081,0.000343923,-0.00501753,0.00219342
2,2,-1.18673e-05,-0.286035,0.00350054,-0.0103247,-0.00796486,0.00290872,-7.61912e-05,-0.00035641
3,2,-0.00171875,-0.323102,0.00553908,0.00091783,0.0179031,-0.00071567,-0.00483274,0.00311943
4,2,0.00557012,-0.34056,0.0060641,-0.0113735,-0.00396219,0.000307915,0.00352733,-0.00221591
5,2,0.00189686,-0.276622,-0.00444515,-0.00873291,0.0126164,-0.000559891,0.000332994,0.0020107
6,2,0.00105668,-0.259197,-0.00146408,0.00285904,-0.00649525,-0.00265804,-0.00317369,-0.00104597
7,2,0.000519174,-0.240152,0.0138015,0.0199859,0.00514989,0.000823288,-0.00364862,-0.00143288
8,2,-0.000337065,-0.233824,-0.00366235,0.0107526,-0.0059258,-0.000768633,0.00116865,-0.00085853
9,2,0.00514114,-0.318022,0.00634938,0.0166931,0.0116597,0.00297671,-0.00246979,0.00024598
10,2,0.00045559,-0.361408,0.00756128,-0.00594714,-0.022311,0.000976051,-0.0193754,0.00184386
1,3,0.00516728,0.343798,-0.00583378,-0.00579456,-0.00179397,-0.00134315,0.00102259,0.00248669
2,3,0.0012825,0.348552,-0.00724284,-0.00780285,0.0102792,0.00407785,0.00203836,0.00183617
3,3,0.00128739,0.248792,-0.00659581,0.00220302,-0.0105271,0.00215115,-0.00772069,-0.00294501
4,3,-0.00357016,0.299338,0.00427564,-0.0073009,-0.00588526,0.0018071,-0.00408432,-0.00194059
5,3,-0.00190838,0.316097,-0.000242058,0.0062837,-0.000310014,-0.00197149,-0.00778175,-0.00064126
6,3,-0.00216491,0.360554,-0.00375727,0.000866424,-0.025503,-0.00189583,0.00323809,-6.96674e-06
7,3,-0.000635396,0.308811,-0.00398855,-0.0023613,-0.0066096,-0.00273132,-0.00713425,-0.000635277
8,3,0.00425241,0.290803,0.00395457,-0.0168968,-0.00615749,-0.00189643,-0.00799898,0.0012453
9,3,-0.000701542,0.332526,0.00837706,-0.0049403,-0.00879684,-0.00331629,-0.00676546,-0.00286062
10,3,0.000623404,0.269244,-0.00128047,0.00296735,-0.00679295,-0.00195576,0.00535664,0.00281135
1,4,0.00199692,0.0684785,0.000763068,-0.00421409,-0.00967778,0.000818038,-0.0162658,-0.000811225
2,4,-0.00403198,0.0320255,3.52988e-05,0.0249742,0.01594,0.000833223,0.000863067,3.13213e-05
3,4,-0.000841005,0.00608658,0.0109897,-0.0102514,0.00324116,0.00277171,-0.000610413,-0.00100095
4,4,0.000916265,0.0513415,0.0125611,-0.00207826,-0.00859322,0.0025964,-0.00998297,-0.000526154
5,4,-0.00299002,0.0401101,-0.0095549,0.00953144,0.00536515,-0.000886681,-0.00430673,0.000686113
6,4,0.00202927,-0.0373093,0.00669042,-0.0163811,0.0069808,0.0010004,0.000866781,-0.000973495
7,4,-0.00317622,0.0281963,-0.0091008,0.00557994,0.00306298,0.00261098,0.00576676,0.00134887
8,4,-0.00172682,-0.0135157,-0.000153035,-0.00239315,0.0092585,-0.00112376,-0.00812296,-0.002066
9,4,-0.0036326,0.0557998,-0.00684341,-0.00184976,0.0164612,-0.00232489,-0.00244541,-0.000901249
10,4,-0.00239211,-0.042781,-0.00620905,-0.00362218,-0.00360304,0.00334057,0.000419054,-0.00117034
1,5,0.00346127,0.55645,-0.000885066,-0.0190287,0.00249616,0.00126178,0.00258099,-0.00114075
2,5,-0.00222414,0.487154,-0.00539785,-0.00036758,0.00911451,0.00206009,0.00848783,-0.000400066
3,5,0.00246927,0.460696,-0.011428,0.00340176,-0.0125216,0.00434967,0.00586873,0.000850339
4,5,-0.00155726,0.483669,0.00433054,0.0137251,-0.000442245,-0.00135466,0.00564717,0.000569814
5,5,0.0054915,0.502627,0.00196646,-0.0164987,-0.00729265,-0.00345737,0.00725176,0.000351959
6,5,0.00214759,0.525736,-0.00792617,0.00494333,-0.00595456,-0.000932305,-0.00265203,0.00140094
7,5,0.000623943,0.539112,-0.0122421,-0.0245228,0.0187284,-0.00156069,-0.00702353,-0.000168081
8,5,0.00118883,0.476202,0.00150066,0.000894078,0.0206522,0.00363401,-0.00789305,0.00125476
9,5,0.00304715,0.52365,0.0143963,0.0145464,0.0192635,-0.00113546,0.00303759,0.00250385
10,5,-0.00312859,0.489832,0.00690084,-0.00506315,-0.00132294,0.0013902,-0.00513834,0.00127194
1,6,0.00105928,0.38815,0.00717858,-0.00133351,0.00918866,0.000440873,-0.0043209,-0.00107417
2,6,-0.00221467,0.390757,0.00331587,-0.021508,0.00632601,0.00110757,0.000966014,-0.00345941
3,6,0.000452164,0.388572,-0.00577893,0.00405946,0.00496366,-0.00312184,0.00115883,0.000966232
4,6,0.000579849,0.370315,0.0192279,0.002679,-0.0320542,0.000290101,-0.00568913,0.00152164
5,6,-0.00126202,0.438063,-0.00313085,5.04604e-05,-0.00869249,-0.00195609,0.010661,-8.90871e-05
6,6,-0.0017994,0.434136,0.00158406,-1.05437e-05,-0.00129597,-0.000194729,0.0030795,-0.00210906
7,6,0.00205902,0.319508,0.00106393,-0.00529847,-0.0188526,-0.00188288,0.00752158,0.00121744
8,6,-0.000195272,0.380522,-0.00178233,0.00857662,-0.0282839,-0.00157926,-0.00125952,0.00117255
9,6,-0.00239286,0.352624,-0.00336535,0.0132345,-0.0167107,0.00142331,-0.00612113,0.000281872
10,6,-0.00154063,0.416887,0.0148902,-0.00474898,-0.0165736,-0.00349625,-0.00135217,-0.00108269
1,7,0.00375856,0.0867569,-0.000629425,0.00536988,0.0158246,0.00109913,0.00182646,-2.65104e-05
2,7,-0.00168077,0.0578345,-0.0102937,0.00180645,0.0161958,-0.00191182,0.00465339,0.001207
3,7,0.00654659,0.0937339,-0.00987811,0.0102252,-0.00902425,0.00051248,-0.0122069,-0.00251739
4,7,0.00119226,0.0337607,7.01713e-07,-0.00262211,0.00442579,0.00122357,-0.0105816,-0.00171682
5,7,8.83059e-05,0.0686133,-0.00692188,-0.0258178,0.00735721,-0.00123457,0.00529849,3.65971e-06
6,7,0.00100354,0.0786292,0.000203643,-0.00430426,0.00464255,0.00175361,-0.0150497,-0.000690096
7,7,0.00496721,0.0941229,-0.0020866,-0.00944638,-0.0218387,0.00243076,-0.00120575,0.0020299
