rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00441109,-0.527936,-0.0136912,-0.0088649,-0.0106265,0.00116234,-0.00261178,0.00323472
2,1,0.00302273,-0.509097,-0.00228097,-0.0270955,-0.00108789,-0.00302698,0.00256253,-0.0018589
3,1,0.00115516,-0.63183,0.00431407,-0.012901,-0.011962,-0.00101274,0.00139353,-0.000952625
4,1,0.000732133,-0.525801,-0.0152881,-0.00367733,0.00905992,-0.00089374,-0.00705763,-0.000306008
5,1,-0.000864308,-0.57851,0.00208051,0.00579081,0.00191597,-0.00340768,8.0002e-05,-0.000417435
6,1,0.00125009,-0.588213,-0.00752879,-0.0203372,0.0065556,0.00310789,0.00134414,-0.00154817
7,1,-0.00174813,-0.568604,0.000533916,0.00571152,0.00234401,0.000866701,0.00143851,-0.00573972
8,1,0.000778915,-0.502009,0.00980757,0.00492511,0.00235912,-0.00127216,-0.0138399,-0.000742849
9,1,-0.0032017,-0.545609,-0.00265713,0.0026581,0.00259596,-0.00211886,0.00888529,0.00106601
10,1,-0.00192633,-0.58147,0.00926841,0.0170608,0.000786158,0.0013671,0.00281864,-0.00203725
1,2,0.00543444,-0.265668,0.00215471,0.0110996,0.00248256,0.00149531,-0.00393611,0.00262141
2,2,-0.00165505,-0.268811,-0.00838917,-0.0106788,-0.0170454,0.00185406,0.00486772,0.00131466
3,2,-0.00175497,-0.327775,-0.00352943,-0.000439404,0.0093714,-0.00063754,-0.000981024,0.00107291
4,2,0.0035047,-0.337072,-0.000246212,-0.0135941,-0.000534704,0.00088269,0.00730494,-0.00150888
5,2,0.000707112,-0.256662,0.012807,-0.0173252,0.0110242,-0.00147279,-0.000810083,0.0020904
6,2,0.00174987,-0.247741,0.00438545,0.0197884,0.00276638,-0.00105339,-0.00446688,-0.000635042
7,2,-0.00186322,-0.340432,0.0137762,-0.000589601,0.005612,-0.000351323,-0.00660034,0.000445098
8,2,0.000660903,-0.228075,-0.00476978,-0.00655067,-0.0135874,-0.000838596,0.00377443,0.000662285
9,2,0.00397471,-0.3172,0.00796056,0.0193957,0.00838011,0.00265443,-0.0015314,0.000330826
10,2,-0.000980079,-0.23589,0.0088622,-0.0015946,-0.0178249,-0.000102648,-0.00741385,-0.000152267
1,3,0.00256137,0.373948,-0.00725125,-0.00754758,-0.000499074,-0.000849417,0.000451917,0.00149184
2,3,0.00105185,0.348657,-0.00892505,-0.00983348,0.0084814,0.00348131,0.00158755,0.00162207
3,3,0.000985343,0.247067,-0.00820689,0.00238136,-0.00800053,0.00208784,-0.0062062,-0.00254539
4,3,-0.00203791,0.301568,0.0080833,-0.00140657,-0.0185202,0.000669699,-0.00215678,-0.00213295
5,3,-0.00149697,0.319306,-0.00038074,0.00742772,0.000163685,-0.00167754,-0.00635993,-0.000595363
6,3,-0.00207122,0.366001,-0.0125038,0.0134496,-0.0194906,-0.00119931,-0.000473431,-0.000228551
7,3,-0.0011479,0.28643,-0.00566241,-0.00946345,-0.0101413,-0.0027386,-0.00760976,-0.00059105
8,3,0.00326005,0.288725,0.00361843,-0.0199921,-0.00459178,-0.00155852,-0.00636628,0.00103464
9,3,0.00222897,0.332759,0.00314877,-0.00898831,0.00449616,-0.00361178,0.00458568,0.00147334
10,3,-0.00236854,0.266719,-0.00427638,0.00496717,-0.0136861,-0.0019368,0.00030899,0.00348938
1,4,0.00147205,0.0671488,0.000656477,-0.00516848,-0.00790373,0.000726218,-0.0133758,-0.000851588
2,4,-0.00255052,0.0567357,-0.00420524,0.0308546,0.0124045,0.000671724,0.000647466,-3.59342e-05
3,4,-0.000523483,-0.0453774,-0.00529781,-0.00589506,0.00140048,-0.00271255,0.00351071,-0.000278734
4,4,0.000606107,0.0510033,0.0136902,-0.00455375,-0.00459875,0.00226765,-0.00579357,-0.000438401
5,4,0.00321949,-0.000133116,-0.00807677,0.0106305,0.00510645,-0.000988885,-0.000513117,-0.00191042
6,4,0.00136915,0.0032471,-9.63215e-05,-0.0138697,0.00890734,0.00100008,0.00523318,0.00257798
7,4,-0.00146672,0.056404,-0.00396123,0.010965,-0.00931582,0.00242155,-0.00417141,0.00352621
8,4,-0.00139175,-0.0158185,0.00109754,-0.00152065,0.00776246,-0.00102084,-0.00759967,-0.00186305
9,4,-0.00284508,0.0538076,-0.00811903,-0.0042192,0.0130416,-0.00203484,-0.00235648,-0.000793885
10,4,-0.00200496,-0.0428394,-0.00783865,-0.00394928,-0.00261038,0.00292507,0.00024443,-0.00100477
1,5,0.000935486,0.535982,-0.000447603,-0.0216497,0.00813082,-0.000768268,0.00460735,-0.00186147
2,5,0.00128752,0.467052,-0.00444073,-0.00158968,0.00675069,0.00222287,0.00450739,0.000391584
3,5,0.000612481,0.49676,-0.0149307,0.00175282,-0.00858648,0.00389506,0.00426076,0.00270896
4,5,0.000566271,0.478763,0.00769815,0.00091315,0.00118742,0.000503128,-0.00242981,0.000329655
5,5,0.00191573,0.496417,0.0109218,0.00150262,-0.0106859,0.000649409,0.0092602,-0.00050787
6,5,-0.00125126,0.511228,0.00724488,-0.00577674,0.0091893,0.000695561,-0.000613858,-0.000298877
7,5,0.0028182,0.538183,-0.00346439,-0.0334644,0.00760128,-0.000354743,-0.00311501,0.00195493
8,5,0.000837128,0.509589,-0.00681759,-0.00277208,0.00623233,0.00363606,-0.00434964,-2.4887e-05
9,5,-0.00189228,0.50881,0.0139301,0.0162963,0.0216764,0.00481555,0.00618414,0.00274802
10,5,0.00272187,0.520808,0.010613,-0.00588005,-0.00971788,0.00258291,-0.00634654,0.000746859
1,6,0.00187788,0.421475,0.00854014,-0.00272093,0.00999092,0.00165743,-0.00359292,-0.000615568
2,6,-0.000951893,0.381228,0.00639857,-0.0223765,-0.00643392,0.0010172,-0.00370284,-0.00255056
3,6,-0.00096937,0.359309,-0.00657979,-0.00161509,0.00163424,-0.00245371,0.00334169,0.00242173
4,6,0.00146782,0.376835,0.0185147,0.00787277,-0.0169511,0.000991327,-0.00653095,0.00141548
5,6,0.00123017,0.421306,0.000913198,-0.00684864,-0.0117055,-0.0018285,-0.0022767,0.00246717
6,6,-0.00216067,0.380939,0.00906553,-0.00320216,0.00111379,-0.00042984,-0.000960402,-0.00227711
7,6,0.00118702,0.277201,-0.00142646,-0.0286279,-0.0129262,-0.00124841,0.00782947,0.000433946
8,6,-0.000162211,0.434792,0.0106063,0.011368,-0.0233292,-0.00073951,-0.00144102,0.00100218
9,6,0.000940444,0.370854,-0.0070204,0.0153823,-0.000220188,0.00319686,-0.000484035,-0.00292857
10,6,-0.00187935,0.383454,0.00839224,-0.00968899,-0.00294553,-0.00189512,-0.00286987,0.00158575
1,7,0.00392066,0.0857283,-0.00837841,0.00341535,0.00921271,-2.08876e-05,0.000350857,0.000586064
2,7,-0.0013338,-0.00989423,0.00081174,-0.000980353,0.010021,5.08982e-06,0.00624212,0.00104729
3,7,0.00448737,0.0772486,-0.0104855,0.0125216,-0.00646292,0.00215382,-0.00990771,-0.00292847
4,7,0.00104063,0.034856,0.00729084,-0.00626394,0.0255236,-9.11162e-05,-0.00453335,-0.00083241
5,7,0.00146947,0.0308826,-0.0168187,0.0136036,0.0050429,-0.00175284,-0.00182306,-0.000790225
6,7,0.00115704,0.0791659,-3.01299e-05,0.00866445,0.0038138,0.0014891,-0.0128436,-0.000499941
7,7,0.00275172,0.0976089,0.00223103,-0.00219395,-0.0088218,0.00260648,0.00495881,0.000476911
8,7,-0.00155808,0.0143205,-0.00376996,0.00156887,0.0114579,-0.000402781,0.00310149,0.000896627
9,7,-0.00227112,0.0371804,-0.0210793,0.0094645,-0.0178484,-0.0015099,0.00358609,0.000214219
10,7,-0.00249573,0.0578895,-0.0143701,0.0112645,-0.00203282,0.000594085,0.00422633,-0.00030792
1,8,0.000481606,0.385083,0.00269246,0.00938469,0.000960789,0.000761862,-0.00146189,0.00176233
2,8,-0.000840339,0.365303,-0.00465282,0.00215224,-0.0225358,6.21154e-05,0.00243116,0.00111341
3,8,-0.000397539,0.326281,0.01106,0.0142954,0.0037663,-0.000259122,0.00609241,-0.000473065
4,8,-0.001672,0.357444,0.00125001,-0.00284625,0.00793984,-0.0015022,0.00316853,0.000110669
5,8,-0.000912078,0.393812,0.00811124,0.0127843,-0.00735459,0.000670332,0.000569347,0.000136856
6,8,-0.00118167,0.390136,0.000203041,-0.000308465,0.0203681,-5.04471e-05,-0.00414066,-0.000452571
7,8,3.92026e-05,0.360631,0.0061001,0.00430802,-0.0171015,0.000155062,0.00290862,-0.00262036
8,8,-2.00509e-05,0.372465,-0.00508919,-0.00935075,0.00212982,0.000844493,-0.00295211,0.00234035
9,8,-0.00297184,0.371017,-0.0103025,0.00169756,-0.00154001,0.0026807,-0.00317537,-0.00247454
10,8,0.000148749,0.363165,0.000401093,-0.00211965,-0.000773141,0.000369537,-0.00204452,-0.00276056
1,9,-0.000207434,0.243451,0.0147812,-0.0158654,0.000486487,-0.00162589,-0.0137692,4.5444e-05
2,9,0.000382718,0.218655,0.00369868,0.0070341,0.0186619,-0.00109939,0.000461957,0.000667639
3,9,0.00245484,0.252342,-0.0024404,-0.0249449,-0.0103621,-0.00274523,-0.00305928,0.00128603
4,9,0.00150627,0.285538,-0.00488015,-0.00816248,0.0184476,0.00100503,0.00259862,0.00270166
5,9,0.00217876,0.173393,-0.000343828,-0.0186342,-0.000534759,-0.00174739,-0.00171702,0.00142743
6,9,0.000751929,0.263576,0.00482416,-0.00778342,0.000932473,-0.00275432,7.1585e-05,-0.000443117
7,9,0.00138028,0.239329,-0.00534988,0.00670471,0.0120201,-0.00120986,0.00303927,0.000826999
8,9,-3.16116e-06,0.262822,0.0143565,0.00402254,-0.00840011,-0.00162353,0.00228023,-0.00143585
9,9,0.000452004,0.320817,-0.00464023,-0.00115736,-0.00482132,0.00417913,-0.00244652,-7.72043e-05
10,9,0.00264164,0.279486,-0.00165574,-0.00746355,-0.000152854,-0.00265615,-0.0010911,0.000389543
1,10,-0.00143723,0.338974,0.00383873,0.00383979,-0.0013367,-0.00272095,-0.0118344,-0.000163267
2,10,0.00169974,0.271347,0.0117623,-0.0336147,0.00182307,0.00165257,-0.00498613,0.00162717
3,10,-7.79229e-05,0.337983,-0.0117651,-0.00475403,0.000977546,0.00236749,0.0011012,-0.00165615
4,10,0.000684626,0.303181,0.00346733,-0.00789783,-0.0148004,0.00376335,0.0043283,-0.000923631
5,10,0.0041979,0.346608,0.0146038,-0.00923159,-0.00859367,0.00220158,-0.00999328,-0.00220815
6,10,0.000516923,0.328782,0.00333782,0.00416192,-0.00358808,-0.00148292,-0.00249063,0.000514956
7,10,0.000444516,0.293669,0.0136156,-0.0134479,-0.000266503,0.00203504,-0.00376687,0.0016843
8,10,-0.00441922,0.278155,0.00483772,0.000833879,-0.00780586,0.00243026,-0.00112529,-0.000245001
9,10,-0.000439122,0.265889,-7.24184e-05,0.00397528,-0.0112118,0.00224692,-0.00650645,0.0011358
10,10,-0.00215169,0.284782,0.00290207,-0.00578637,-0.0019445,0.00173858,-0.00258926,-0.000591211
1,11,-0.00014333,0.577034,0.000679828,-0.0100483,0.00401698,0.00232221,0.000898556,-0.000153275
2,11,-0.00157529,0.682231,0.00185206,0.0143872,0.00736913,-0.00144391,-0.00489059,0.00217754
