rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00295612,-0.548333,-0.0109116,-0.00406587,-0.00383873,0.000626495,0.00291034,-0.001171
2,1,0.0016816,-0.518387,-0.000761534,-0.00588979,0.00529978,-0.00168274,-0.0017898,0.000463956
3,1,0.00180985,-0.561424,-0.0015986,-0.0187231,-0.00235,0.00120412,0.00252384,-0.00135862
4,1,0.00234067,-0.544105,-0.00528987,0.0192243,0.000585288,-0.00140751,-0.00474728,-9.6119e-05
5,1,-0.00117129,-0.586667,0.00707037,0.0150371,0.00152647,-0.00210127,0.00378863,-0.00045641
6,1,-0.00307337,-0.565087,-0.00497795,-0.0123858,0.0109801,0.00143107,-0.00402837,-0.00209957
7,1,-0.00090192,-0.596818,-0.00458381,-0.00434756,-0.0053313,8.25989e-05,-0.00278759,-0.00437868
8,1,0.000942259,-0.508642,0.00265496,0.00934056,0.0115479,0.000657367,-0.0162376,-0.00194446
9,1,-0.00160315,-0.553259,-0.00716496,0.0104891,-0.00252023,-0.00147614,0.0118265,0.000467813
10,1,-0.00492653,-0.587113,0.00119009,0.00915972,-0.0145192,0.000449787,0.00266151,0.000233939
1,2,0.00656179,-0.266624,0.00145674,0.0107219,0.00266961,0.00030039,-0.00522236,0.00189121
2,2,-0.000490108,-0.238335,-0.00503689,0.00322105,-0.00858017,0.0023917,0.00141639,-0.000205628
3,2,-0.000239347,-0.331814,0.0063569,-0.00412751,0.012083,-0.00217028,-0.0032826,0.00209389
4,2,0.00443476,-0.18713,-0.00453426,-0.015649,-0.00395542,-0.00166159,-0.00198125,-0.000378886
5,2,0.00126015,-0.28745,0.00225762,-0.0198822,0.0120196,-0.00120733,-0.000632629,0.000982123
6,2,0.000598765,-0.352132,0.00429684,0.01262,0.00947563,-0.00228289,-0.00676026,-0.000939059
7,2,-8.77001e-05,-0.206058,0.008291,0.0170017,0.0018695,0.00115814,-0.00377668,-0.00194776
8,2,-8.09779e-05,-0.293658,0.00574735,-0.00278093,-0.00933678,-0.000374947,0.000164532,-0.000610413
9,2,0.00459811,-0.269321,0.00167726,0.012731,0.00673309,0.0023386,-0.0106136,0.00129529
10,2,0.00110326,-0.316935,0.00482382,0.00633348,-0.00880141,0.000824436,-0.004029,0.00357801
1,3,-0.000413886,0.313507,-0.00412275,-0.00168522,-0.00313503,0.000887229,-0.00195621,0.000386682
2,3,0.00198923,0.297483,-0.00749904,0.000768156,0.0055982,0.00330472,0.00446531,0.0014177
3,3,0.00397827,0.280754,0.00212853,0.00276531,-0.00251723,-0.00155379,-0.00950983,-0.00077049
4,3,-0.002,0.323496,0.00813622,0.00634724,-0.00490199,0.0014563,-0.00276203,-0.00130948
5,3,-0.0018238,0.334056,0.00320874,0.0130364,0.00140279,-0.00196591,-0.00272836,-0.000658184
6,3,-0.00271285,0.367728,-0.00871259,0.0128729,-0.0173378,-0.0012463,-0.000761307,-0.000219395
7,3,0.000912222,0.304091,-0.00329965,-0.00636505,-0.0140807,-0.00207832,-0.0150608,-0.000651254
8,3,0.00428055,0.287793,0.00340243,-0.0198653,-0.00404002,-0.00151781,-0.00841478,0.00101576
9,3,-0.00190096,0.319283,0.00551036,-0.00972764,-0.00684288,-0.00234872,0.00191041,0.000354379
10,3,-0.000730112,0.288257,0.000654698,-0.00471723,-0.0104609,-0.00154408,0.00630947,0.00384591
1,4,0.00212992,0.0675175,0.000489992,-0.00494898,-0.00729199,0.000667251,-0.0171672,-0.000858016
2,4,-0.00346983,0.056702,-0.0028056,0.0290996,0.010912,0.000687069,0.000597316,-0.000135827
3,4,-0.000953808,0.00805649,0.00847619,-0.0116469,0.0025509,0.00232341,-0.000899986,-0.000908844
4,4,0.000850345,0.0509611,0.00926864,-0.00455078,-0.00432954,0.00217148,-0.00770927,-0.000428244
5,4,-0.00289932,0.0391895,-0.00817516,0.0103647,0.00305266,-0.000738081,-0.00446382,0.000535831
6,4,0.00162561,-0.0146413,0.00708553,-0.00625772,0.0141737,-0.000841439,0.00424465,0.00202573
7,4,-0.000497675,0.0502169,-0.00208119,0.0105617,-0.00773841,0.00250044,-0.00498418,0.00303306
8,4,-0.00173895,-0.0109744,-0.000296525,-0.00276328,0.00665628,-0.000853903,-0.00929132,-0.0017193
9,4,-0.00376506,0.0569555,-0.00590316,-0.00343376,0.0130767,-0.0018125,-0.00263842,-0.00064477
10,4,0.00111772,0.0438171,-0.00195831,-0.0103287,-0.0116385,0.00227677,-0.00546858,-0.00142527
1,5,0.00415164,0.536588,-0.00137627,-0.0249995,0.00535156,-0.00172185,0.000816488,-0.000295658
2,5,0.000178394,0.459722,-0.000691515,-0.0028086,0.0017272,0.001745,0.00683309,0.000650984
3,5,0.00143624,0.461112,-0.0127966,0.00654829,-0.0111499,0.00092038,0.00867617,0.00203693
4,5,0.000369505,0.46751,0.00460948,0.000294246,-0.00424621,0.000261085,-0.00379515,0.000762267
5,5,0.00236489,0.496095,0.00747872,0.00122983,-0.00944105,-0.00343818,0.00206339,-0.000517318
6,5,0.000454711,0.550196,0.00161552,-0.00190707,0.00455051,0.000915444,-0.00675769,0.00113236
7,5,-0.00142798,0.527688,-0.00700462,-0.0302228,0.00966246,-0.000819766,-0.00818795,0.000960936
