rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_S,eta_R0,eta_gamma,eta_MTT
1,1,-0.00473516,-0.522526,-0.0140175,-0.00526583,-0.0130798,-0.000300684,0.00199458,0.00462265
2,1,-5.38318e-05,-0.535977,-0.00597108,-0.0131929,0.0208662,-0.00197244,0.00526598,-0.00271004
3,1,-8.60203e-05,-0.585723,-0.00309862,-0.00473082,0.000533261,0.00201856,0.00163231,-0.0038708
4,1,0.00240561,-0.541565,-0.00658808,0.00970281,0.00648984,-0.000614153,-0.00883415,3.6769e-05
5,1,0.00102128,-0.590283,0.0135256,0.0143866,-0.00472972,-0.00303788,0.00481913,-0.00324289
6,1,-0.00110654,-0.600272,-0.00276203,-0.0283886,0.00932826,6.09507e-05,0.00643065,-3.34027e-05
7,1,-0.000362432,-0.569382,-0.00962043,-0.00886927,-0.000641522,6.16316e-05,-0.00822036,-0.0069143
8,1,-0.000139529,-0.517637,0.00507925,0.00432612,0.0100832,0.000970976,-0.0121852,-0.00154991
9,1,-0.0025361,-0.535877,-0.00919174,0.0127302,0.00293293,-0.00173783,0.00993634,-0.000197984
10,1,-0.00259101,-0.554705,0.0022878,0.0174566,-0.00503408,0.00190593,0.0021473,-0.00282233
1,2,0.00676439,-0.267409,0.0184974,0.010962,0.00285563,0.000305634,-0.0044952,0.00411844
2,2,0.00357758,-0.245986,-0.00980911,-0.000775165,0.00366333,0.00180366,0.00376308,0.00346349
3,2,-0.00119375,-0.297922,-0.00294679,-0.0107453,0.0249576,-0.00181548,0.000300919,0.004658
4,2,0.00462542,-0.237529,-0.00585496,-0.030262,-0.00675879,-0.00322468,0.00176217,0.00145725
5,2,2.70193e-05,-0.278188,-3.4512e-05,-0.00916596,0.0100852,-0.000948209,-0.00171115,0.00410158
6,2,-0.000275758,-0.315361,-0.00210615,0.0133225,0.0146117,0.000723633,-0.00743079,0.00146255
7,2,0.00238909,-0.23694,0.0123312,0.0178693,0.00607908,-0.00058559,-0.0107269,-0.000610079
8,2,-0.000619274,-0.2813,0.00900913,0.000197468,-0.013765,-0.000156279,0.00702964,0.000215102
9,2,0.00420849,-0.281457,0.00815228,0.0130763,0.0108527,0.00334915,-0.00728334,0.00352274
10,2,-0.00233366,-0.291058,0.00843044,0.00239382,0.00161655,0.00215728,-0.0132779,0.00167899
1,3,-0.000287861,0.315316,-0.00668614,-0.0016555,-0.00544075,0.00099817,-0.00195246,0.000594131
2,3,0.00144495,0.349006,-0.00866794,-0.00924618,0.0106085,0.00374079,0.00184881,0.0024244
3,3,0.00138536,0.248284,-0.00826465,0.00226491,-0.0110882,0.00204492,-0.00704506,-0.00367971
